genel_tutum,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,annotator,uploaded_at,konu,tweet_id,dil,kategori_count,kategori_str,kategori_common
Yahudi Karşıtı,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Öfkeni göster dostum öfken onların korkulu rüyası olacaktır zira;
""Onlar korkak bir toplumdur""
#Kudüsesahipcık #MescidiAksa #KuduesBaskını #MescidiAksaBaskını #MescidiAksaYanlızDeğildir #MescidiAksaKırmızıCizgimiz #PalestiniansLivesMatter #PalestinianLivesMatter",Ebrar,2023-02-01T17:44:11,Isr-Pal,1390845435602931713,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],2,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"#Kahrolsunİsrail 
#MescidiAksaYanlızDeğildir https://t.co/uVrl8lcuNj",Aygün,2023-03-21T13:17:12,Isr-Pal,1390959516582285313,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],2,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Yok,"İnanamıyorum ya İsrail'i bir köpek yerine katmışlar siz kimsiniz kos koca bir köpeği İsrail ile bir tutuyorsunuz
Köpek sizden hakkını ister diğer dünyada
İsrail köpeğin dışkısı olamaz 😌
#kahrolsunisrail 
#MescidAksa 
#KudusBizimdir https://t.co/zyuYQIbm7q",Mert,2023-04-19T14:07:21,Isr-Pal,1390979247653666818,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,"Ya rab bize hilafeti nasip ed ki bunların cezalarını elimizle verelim 
#OrdularAksaya",Ebrar,2023-02-01T17:44:10,Isr-Pal,1391011349686325248,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,"Filistin için, Doğu Türkistan için... #OrdularAksaya",Ebrar,2023-01-23T09:42:59,Isr-Pal,1391014860931096580,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Gevşeklik göstermeyin, üzülmeyin; eğer inanmışsanız şüphesiz en üstün olan sizsiniz.

Ali İmran 139

#OrdularAksaya",Bekir,2023-04-03T14:24:36,Isr-Pal,1391057619809341446,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,"##MescidiAksa

Mescid-i Aksâ'da namaz kılan Müslümanlara saldıran Yahûdî askerlerini Allâh-u Teâlâ kahreylesin, Kur'ân'da vaadettiği üzere; devletlerini param parça eylesin.#KudueseSahipCık https://t.co/eOxTghBKCR",Ebrar,2023-01-10T19:59:49,Isr-Pal,1391111844375453701,,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,@mifbgr @eurodolar1980x @BekirBu02487130 Ne o ağırınamı gittide hakaret ediyorsun inşallah öyledir öylede olur de ama senin kalbin niyetin itrail diye atıyorsa o başka,Ebrar,2023-02-01T17:44:11,Isr-Pal,1391187031972270080,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],3,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,#kahrolsunisrail #mescidiaksa https://t.co/ZWogTQceqT,Aygün,2023-03-21T13:17:12,Isr-Pal,1391206759100977154,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,@username #ordularkudüse #OrdularAksaya,Ebrar,2023-04-04T12:16:15,Isr-Pal,1391384398348627975,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Din']",8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,"Kudüs İsrail e mezar olacak !!! Çünkü Allah büyük çünkü ALLAHU EKBERR

#MescidiAksaOnurumuzdur 
#MescidiAksa 
#Aksadabaskınvar",Alara,2023-03-29T11:15:53,Isr-Pal,1391648659687813122,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,"['Irk/Etnik Köken', 'Din', 'Hedef grup birden fazla.']",8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,#MehmetcikAksaya,Meryem,2023-02-15T08:24:59,Isr-Pal,1391783095377047555,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],9,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,Rabbim israili helak eyle yok et yak yik soylarini kurut  YARABBİM #KuduesBaskını #MescidiAksaOnurumuzdur #KudusBizimdir #AksadaBaskınVar #MescidiAksaYanlızDeğildir https://t.co/OHdZUknBUm,Elif Erol,2023-01-27T15:40:59,Isr-Pal,1392056683686506497,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Din'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Siz İsrail oğulları hiç mi geçmişinizden ders almazsınız ebabil kuşları nasıl bir fil ordusun yok ettiyse sizinde sonunuzda onların ki gibi olacak !

    #AksadaBaskinVar",Ümit,2023-02-01T17:39:29,Isr-Pal,1392177266839457800,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"@username #Yıkılsınİsrail 
#Kahrolsunİsrail 
#Yansınİsrail
#ALLAHINNALETİİSRAİLİNÜZERİNEOLSUNİNŞALLAH
#israilteroerdevletidir 
😭😭😭",Aygün,2023-03-21T13:17:12,Isr-Pal,1392252623902978049,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Ya Rabbi Kabe'yi yıkmaya gelen ebrehe ordusuna ebabiler gönderdiğin gibi Filistin'i yıkmaya gelen israilin üzerine de gönder

#RAMAZANBAYRAMI #GazaUnderAttack #EidMubarak #IsraeliTerrorism #PalestineUnderAttack #iyibayramlar #katilisrail #HayirliBayramlar #FreeQuds #freepalastine https://t.co/rfWy2Vgq5K",Ümit,2023-02-01T17:39:28,Isr-Pal,1392728294576037888,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],7,['Abartma; Genelleme; Yükleme; Çarpıtma'],Şiddetli,"Kudüs ilelebet İslamındır
#Katilİsrail
#RAMAZANBAYRAMI
#GazaUnderAttack
#AksadaZulumVar https://t.co/6VizIEe4yV",Ebrar,2023-01-10T19:59:49,Isr-Pal,1392834845508882432,,1,Abartma; Genelleme; Yükleme; Çarpıtma,['Abartma; Genelleme; Yükleme; Çarpıtma']
Yahudi Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Din']",6,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Yorumlarda hintliler "" İsrail askeri olarak savşmak istiyorum"" yazmışlar. Nedir bu hintlilerdeki itrail aşkı? https://t.co/aO1F2ks4lv",Alara,2023-04-03T14:02:10,Isr-Pal,1393128219306508290,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Din'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Allah ın gazabı  üzerine olsun..İsrail kendi kanında boğül inşaallah yakahar yakahar  
#Katilİsrail https://t.co/UsdQ4sIVpS",İpek,2023-03-22T10:36:44,Isr-Pal,1393671699623723010,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,"Filistin-Mısır sınırına itrail saldırı düzenlendi orada da müslümanlar sınıra dayandı diye onlara da saldırmaya başladı kuduz köpek.
#palestine_egypt
#filistin_misir https://t.co/r46clGBMs9",Ebrar,2023-02-01T17:44:11,Isr-Pal,1393735168557522944,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu'],7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Yok,"#Teroristİsrail mallarına #boykot
#BOYKOTADAVETEDİYORUM 
#Boykotalmıyorum 
#itrail https://t.co/CW49lrF3uc",Meryem,2023-02-15T08:24:59,Isr-Pal,1393896444260757504,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,"#FilistinYalnizDegil 
Dünya üzerinde tek müslüman kalana dek Filistin için Kudüs için ayakta kalacak bir ümmet var karşında İsrail ayağını denk al sonun yakındır... https://t.co/JNzbFWUnIH",Ebrar,2023-02-01T17:44:11,Isr-Pal,1394083021200973825,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
