,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,konu,tweet_id,dil,majority_decision,tweet_text_clean
0,['Ülke/Milliyet'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,#Katilİsrail https://t.co/A2uX5Uygxs,Isr-Pal,1353048938450976770,,Yahudi Karşıtı,#Katilİsrail 
3,['Ülke/Milliyet'],6,"['Simgeleştirme', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Yok,#Katilİsrail https://t.co/IZL3a33jCI,Isr-Pal,1353049567248457729,Türkçe,Yahudi Karşıtı,#Katilİsrail 
6,"['Irk/Etnik Köken', 'Din', 'Hedef grup birden fazla.']",5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,@username @username @username Kur’anda Tevratta derki itrail oğulları aska galıcı devlet olamayacaklar,Isr-Pal,1353611898026156032,Türkçe,Yahudi Karşıtı,   Kur’anda Tevratta derki itrail oğulları aska galıcı devlet olamayacaklar
9,['Ülke/Milliyet'],3,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@veliagbaba Suriyenin iç işlerine karışma, orada konuşlanma, petrol kuyularına çöreklenme, silahlı ve siyasi terör örgütllerini finasal ve lojistik açıdan yoğun şekilde destekleyen. Abd, Rusya, frnasa ve itrail diyorsunuz sandım bir an. Ama ortalığı hep biz karıştırmışız. Özür dileriz😏",Isr-Pal,1355236074201751554,Türkçe,Yahudi Karşıtı," Suriyenin iç işlerine karışma, orada konuşlanma, petrol kuyularına çöreklenme, silahlı ve siyasi terör örgütllerini finasal ve lojistik açıdan yoğun şekilde destekleyen. Abd, Rusya, frnasa ve itrail diyorsunuz sandım bir an. Ama ortalığı hep biz karıştırmışız. Özür dileriz😏"
12,['Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu'],0,['Nefret söylemi bulunmuyor'],Yok,"Akşam haberlerinde ""ABD DOĞU AKDENİZ İNİYOR"" başlıklı haberinizde Filistin topraklarını  itrail olarak verdiniz. Yaptığının bu kansızlık için düzeltme yapıp, özür dilemenizi bekliyoruz @tgrthabertv @ekremacikel #tgrt #tgrthaber",Isr-Pal,1356275317271371776,Türkçe,Yahudi Karşıtı,"Akşam haberlerinde ""ABD DOĞU AKDENİZ İNİYOR"" başlıklı haberinizde Filistin topraklarını  itrail olarak verdiniz. Yaptığının bu kansızlık için düzeltme yapıp, özür dilemenizi bekliyoruz   #tgrt #tgrthaber"
15,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",4,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,@username @username Sözcü gazetesi okuyanlar da  vatansever ; kendi vatanlarını seviyorlar ABD iTrail Ermenistan rumkesimi Yunanistan,Isr-Pal,1366346815109533698,Türkçe,Yahudi Karşıtı,  Sözcü gazetesi okuyanlar da  vatansever ; kendi vatanlarını seviyorlar ABD iTrail Ermenistan rumkesimi Yunanistan
18,['Ülke/Milliyet'],6,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@username Devletler kendi çıkarları için düşman olduğu ile pazarlık yapabilir..
Önemli olan Ülkenin menfaatidir.
Lakin zannımca itrail den önce Mısır gelecek gibi..Gelmekte zorunda.
Akdenizde sınırlarımızı BM biliyor müdahale edemezler
etmek için darbe istediler oda olmadı Elhamdülillah",Isr-Pal,1368540706864824324,Türkçe,Yahudi Karşıtı," Devletler kendi çıkarları için düşman olduğu ile pazarlık yapabilir..
Önemli olan Ülkenin menfaatidir.
Lakin zannımca itrail den önce Mısır gelecek gibi..Gelmekte zorunda.
Akdenizde sınırlarımızı BM biliyor müdahale edemezler
etmek için darbe istediler oda olmadı Elhamdülillah"
21,"['Irk/Etnik Köken', 'Din', 'Hedef grup belirgin değil veya yok.']",7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,Ya Rabb itrail terör topluluğunu bizim ellerimizle helak et #DünyaKudüsHaftası,Isr-Pal,1368989827337687042,Türkçe,Yahudi Karşıtı,Ya Rabb itrail terör topluluğunu bizim ellerimizle helak et #DünyaKudüsHaftası
24,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",8,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,@username Terörist itrail 😡,Isr-Pal,1369715338502373377,Türkçe,Yahudi Karşıtı, Terörist itrail 😡
27,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,@sezgiaskin Sen direk cola şişesine otur anında birinci sınıf itrail vatandaşı olursun beyinsiz.,Isr-Pal,1372064745050800129,,Yahudi Karşıtı, Sen direk cola şişesine otur anında birinci sınıf itrail vatandaşı olursun beyinsiz.
30,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",4,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,"bazan bişeye çok bakarsın ama doğruyu başkası görür şeyh ahmet yasin küresel terörün yılan başının itrail olduğunu bilmişti 
#HearTheTurkishStudents
#bilelim
RTEodyometriyi DuyArtık
KirliPlan Devrede
AzapHg Kalbimizde Yaşıyor
Asdep ÇözümBekliyor
Bir Galatasaraylı https://t.co/oJwxbeeUGY",Isr-Pal,1374047091622871041,Türkçe,Yahudi Karşıtı,"bazan bişeye çok bakarsın ama doğruyu başkası görür şeyh ahmet yasin küresel terörün yılan başının itrail olduğunu bilmişti 
#HearTheTurkishStudents
#bilelim
RTEodyometriyi DuyArtık
KirliPlan Devrede
AzapHg Kalbimizde Yaşıyor
Asdep ÇözümBekliyor
Bir Galatasaraylı "
33,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Zayıf,"#Katilisrail 
Gazze yine yetim, yine öksüz, yine mahzun. . https://t.co/2lCxJ1lQW9",Isr-Pal,1382832299268530178,Türkçe,Yahudi Karşıtı,"#Katilisrail 
Gazze yine yetim, yine öksüz, yine mahzun. . "
36,['Ülke/Milliyet'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Yok,"Allah kahr eylesin. 
#kahrolsunisrail",Isr-Pal,1383010960588345345,Türkçe,Yahudi Karşıtı,"Allah kahr eylesin. 
#kahrolsunisrail"
39,['Din'],7,"['Küfür; Hakaret; Aşağılama; İnsandışılaştırma', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Zayıf,"@username Yıkılasın iTrail, tozunu göreyim",Isr-Pal,1383308968303366151,Türkçe,Yahudi Karşıtı," Yıkılasın iTrail, tozunu göreyim"
42,"['Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",6,"['Küfür; Hakaret; Aşağılama; İnsandışılaştırma', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Şiddetli,"@YukselisGR Saklanacak yer bulamadığınız o günleri göster Ya Rabbi 
Kanında boğulacaksın itrail",Isr-Pal,1383331825334980612,Türkçe,Yahudi Karşıtı," Saklanacak yer bulamadığınız o günleri göster Ya Rabbi 
Kanında boğulacaksın itrail"
45,['Ülke/Milliyet'],1,['Emin değilim'],Zayıf,"#israil değil itrail

Ve itarili ilk tanıyan ülkelerin arasında Türkiyenin olması o dönemlerdeki yönetime ağzını açamayan dingiller sanki Erdoğan tanımış ve destek olmuş gb iktidara çemkiriyor. Tutarlı olun gerizekalılar.",Isr-Pal,1383373740034064391,Türkçe,Yahudi Karşıtı,"#israil değil itrail

Ve itarili ilk tanıyan ülkelerin arasında Türkiyenin olması o dönemlerdeki yönetime ağzını açamayan dingiller sanki Erdoğan tanımış ve destek olmuş gb iktidara çemkiriyor. Tutarlı olun gerizekalılar."
48,['Irk/Etnik Köken'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Kudüslü genç elimden ancak bu gelir diyerek O siyonist işgalciye haddini bildirdi... 
Dün akşam Teravihten çıkan Filistinlilere saldıran siyonist askere Filistinli bir gencin cevabı. 

#KudüslüTekme 
#KudüsBizimdir     #Hayırlıİftarlar  
 #شلوط_القدس https://t.co/JR5Oyh3VUV",Isr-Pal,1383951684972412931,Türkçe,Yahudi Karşıtı,"Kudüslü genç elimden ancak bu gelir diyerek O siyonist işgalciye haddini bildirdi... 
Dün akşam Teravihten çıkan Filistinlilere saldıran siyonist askere Filistinli bir gencin cevabı. 

#KudüslüTekme 
#KudüsBizimdir     #Hayırlıİftarlar  
 #شلوط_القدس "
51,['Ülke/Milliyet'],6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,@username Yıkılsın itrail,Isr-Pal,1385871316000153607,Türkçe,Yahudi Karşıtı, Yıkılsın itrail
54,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu']",7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Terörist netenyahu #zalim itrail pisrail rejimi için yaşasın cehennem jıbo zalime xinxarenra biji cehennemî zümera 
#KudüsKırmızıCizgimizdir",Isr-Pal,1385938987592847361,Türkçe,Yahudi Karşıtı,"Terörist netenyahu #zalim itrail pisrail rejimi için yaşasın cehennem jıbo zalime xinxarenra biji cehennemî zümera 
#KudüsKırmızıCizgimizdir"
57,"['Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Bu güzellik burada dursun .Polis ekipleri, iftarlık kumanyalarını yolda gördükleri kağıt toplayıcı kadın ve çocuklarına verdi. Yürekleri ısıtan görüntüler güvenlik kameralarına yansıdı. Allah razı olsun. Soran olursa işte bizim yiğitler böyle dersiniz. 

Ne abd,ne itrail de var! https://t.co/HJflQnAfH2",Isr-Pal,1386039325700366342,Türkçe,Yahudi Karşıtı,"Bu güzellik burada dursun .Polis ekipleri, iftarlık kumanyalarını yolda gördükleri kağıt toplayıcı kadın ve çocuklarına verdi. Yürekleri ısıtan görüntüler güvenlik kameralarına yansıdı. Allah razı olsun. Soran olursa işte bizim yiğitler böyle dersiniz. 

Ne abd,ne itrail de var! "
60,['Ülke/Milliyet'],2,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,#Kuduesİslamındır #KuduesBizimdir #KuduesKıyamda #Kahrolsunİsrail https://t.co/JxhpZrvi1r,Isr-Pal,1386120384307679234,Türkçe,Yahudi Karşıtı,#Kuduesİslamındır #KuduesBizimdir #KuduesKıyamda #Kahrolsunİsrail 
63,['Ülke/Milliyet'],1,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@username @username Kahrolsun yerli itrail.
Akp rejimi;müslümanların ve hatta tüm insanlığın başına gelmiş en büyük beladır.
Veba mikrobudur.
İnsanlık bu dinsiz,imansız akp rejiminden bir an önce kurtulmalıdır.
Onlar,camilerinde,dininde sadece kendilerine ait olmasını istiyorlar.",Isr-Pal,1389218862407761922,Türkçe,Yahudi Karşıtı,"  Kahrolsun yerli itrail.
Akp rejimi;müslümanların ve hatta tüm insanlığın başına gelmiş en büyük beladır.
Veba mikrobudur.
İnsanlık bu dinsiz,imansız akp rejiminden bir an önce kurtulmalıdır.
Onlar,camilerinde,dininde sadece kendilerine ait olmasını istiyorlar."
66,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Kahrolsun yerli itrail.
Akp rejimi;müslümanların ve hatta tüm insanlığın başına gelmiş en büyük beladır.
Veba mikrobudur.
İnsanlık bu dinsiz,imansız akp rejiminden bir an önce kurtulmalıdır.
Onlar,camilerinde,dininde sadece kendilerine ait olmasını istiyorlar. https://t.co/5rnq8p8e33",Isr-Pal,1389218966485229572,Türkçe,Yahudi Karşıtı,"Kahrolsun yerli itrail.
Akp rejimi;müslümanların ve hatta tüm insanlığın başına gelmiş en büyük beladır.
Veba mikrobudur.
İnsanlık bu dinsiz,imansız akp rejiminden bir an önce kurtulmalıdır.
Onlar,camilerinde,dininde sadece kendilerine ait olmasını istiyorlar. "
69,['Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@username @username Ramazanda özellikle yapıp, özellikle paylaşıma sokuyor itrail.",Isr-Pal,1390202343380111361,Türkçe,Yahudi Karşıtı,"  Ramazanda özellikle yapıp, özellikle paylaşıma sokuyor itrail."
72,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"@username #İsrailKaşınma 😠
#MescidiAksaKırmızıÇizğimizdir
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷",Isr-Pal,1390362890083909634,Türkçe,Yahudi Karşıtı," #İsrailKaşınma 😠
#MescidiAksaKırmızıÇizğimizdir
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷"
75,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,Kahrolsun siyonist itler#kudüsbizimdir,Isr-Pal,1390392476373032961,Türkçe,Yahudi Karşıtı,Kahrolsun siyonist itler#kudüsbizimdir
78,"['Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",7,"['Küfür; Hakaret; Aşağılama; İnsandışılaştırma', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Zayıf,"#KuduesBizimdir 
Kahrolsun abd
Kahrolsun İsrail 
Kahrolsun İngiltere 
Kahrolsun işbirlikçi hainler https://t.co/47MGv0odIh",Isr-Pal,1390404371503063046,,Yahudi Karşıtı,"#KuduesBizimdir 
Kahrolsun abd
Kahrolsun İsrail 
Kahrolsun İngiltere 
Kahrolsun işbirlikçi hainler "
81,"['Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",0,['Nefret söylemi bulunmuyor'],Yok,"@ArdaTRKL07 @_Buyuk_Turkiye_ #İsrailKaşınma 😠
#MescidiAksaKırmızıÇizğimizdir
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷",Isr-Pal,1390406568995401730,,Yahudi Karşıtı,"  #İsrailKaşınma 😠
#MescidiAksaKırmızıÇizğimizdir
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷"
