genel_tutum,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,annotator,uploaded_at,konu,tweet_id,dil
Nötr,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"#KuduesBizimdir 
#KuduesBizimdir 

#Kuduesİslamındır 
#Kuduesİslamındır 

#KuduesDireniyor 
#KuduesDireniyor",Selin,2023-04-05T13:42:21,Isr-Pal,1386083231800377350,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"İslamın ilerlemesini sakin ve teslimiyetçi kimseler değil, cesur ve isyankâr ruhlu kimseler gerçekleştirecektir.

Aliya İzzetbegoviç
#KuduesBizimdir  #Kuduesİslamındır",Hasan,2023-04-17T08:17:10,Isr-Pal,1386262893138784257,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"Kudüs gününde yürüyüş yapmak ve halkın orda bulunması Filistin’i savunmaktır
#FreePalestine #KudüsBizimdir https://t.co/8cAECC75IE",Aygün,2023-01-24T10:00:55,Isr-Pal,1390366853864861699,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"'Tûr Dağını yaşa
Ki bilesin nerde Kudüs
Ben Kudüs’ü kol saati gibi taşıyorum'

#KudüsBizimdir",Batuhan,2022-12-30T17:14:27,Isr-Pal,1390387083638939650,
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"Kudüs uzlaşma ile anlaşma ile değil direnişle özgürlüğüne kavuşacak 
#KudüsBizimdir",Ümit,2022-12-30T17:17:54,Isr-Pal,1390390918675640321,
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Dışlama; Ayrımcı Söylem'],Zayıf,#KuduesBizimdir https://t.co/mTONzNRuhu,Ebrar,2023-01-23T09:42:59,Isr-Pal,1390393583539261440,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"Ali Mikdat'ın elleri koptu. Gözleri karardı. Filistin için oldu bunlar...
Söyler misiniz, vazgeçilir mi artık Kudüs'ten...
#KuduesBizimdir https://t.co/sPqo6tmdT9",Hande,2023-04-11T08:09:44,Isr-Pal,1390395567319273476,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,Ya Bizim Yada bizim ama illa #kudüsbizimdir,Meryem,2022-12-30T17:18:10,Isr-Pal,1390400176876101637,
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Dışlama; Ayrımcı Söylem'],Zayıf,"Her Ramazan'ın son Cuması Dünya Kudüs Günü'dür. Bütün takipçilerimizi bu hashtag ile paylaşım yaparak Müslümanların kırmızı çizgisi Kudüs'e sahip çıkmaya davet ediyoruz!

#KudüsBizimdir",Ebrar,2023-01-23T09:42:59,Isr-Pal,1390405008487817218,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"""Filistin bir sınav kağıdı, her mümin kulun önünde ""
#KuduesBizimdir",Ebrar,2023-01-23T09:42:59,Isr-Pal,1390408136335450114,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"@username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username “Kudüs… Bir sınav kağıdı… Her Mü’min kulun önünde…”
(Cahit Zarifoğlu)

İlk kıblemiz Mescidi Aksa özgürlüğün yakındır inşallah. 

#İsrailKaşınma #MescidiAksaKırmızıÇizgimizdir https://t.co/fkI55M8ALQ",Hasan,2023-04-17T08:17:38,Isr-Pal,1390414447328563203,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,#kudüsbizimdir,Elif,2023-03-27T08:57:16,Isr-Pal,1390417186758475776,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"İnşallah en kısa zamanda gelecek kardan aydınlık. 
#KudüsBizimdir https://t.co/WGlCrQbGos",Mert,2023-03-29T11:17:04,Isr-Pal,1390417972745936900,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"#KuduesBizimdir 
#FreePalestine https://t.co/Mx4wPAwZQa",Hasan,2023-03-29T11:21:25,Isr-Pal,1390420140626481154,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"Kudüs diye bir DAVAsı olmayanın
Dünya kadar derdi olur.
#KudüsBizimdir
#KudüsBaskını https://t.co/coYzFM6Hxk",Ebrar,2023-02-01T17:44:10,Isr-Pal,1390422887341993986,Türkçe
Nötr,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"#KudüsBizimdir 
#FreePalestine https://t.co/6nTG0bQ4bX",Altar,2023-02-09T17:51:14,Isr-Pal,1390424563641683973,Türkçe
Nötr,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"@username #MescidiAksaYanlızDeğildir
#KudüsBizimdir
#FreeAqsa
#Terroristisrael
#Kudüsİslamındır",Selin,2023-04-05T13:40:33,Isr-Pal,1390428160659968000,Türkçe
Nötr,['Din'],0,['Nefret söylemi bulunmuyor'],Yok,"Bu dava hor, bu dava öksüz, bu dava büyük..

| Necip Fazıl Kısakürek
#KuduesBizimdir",Ümit,2023-01-10T19:58:51,Isr-Pal,1390477106031824897,
