tweet_id,target,text,span,category
1537057986874597376,Greek,@zeynepzumra1980 Sıkıntıları Türkiye yazması ve Türkçe yazması zorlarına giden bu cünkü hepsi Yunan tohumu,hepsi Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1552184011056889858,Greek,"@username @username @username @username Bunlara atılacak  mermi sadece israftır, Türk bayrağını görmeleri zaten onlara yetecektir. Rahat dursalar, hic bir Türk vatandaşının Yunan'a saldırı yada işgal aklının uçlarından geçmez, bu salaklar bunu kavrayamıyorlar, yeterki ülke menfaatlerimize saygı duysunlar...",O salaklar bunu kavrayamıyorlar,Swearing; Insult; Defamation; Dehumanization
1534968547834834944,Greek,"Çavuşoğlu, ""Yunanistan bu ihlalden vazgeçmezse bu adaların egemenliği tartışılır. Bu kadar açık ve net."" 

#ŞakamızYokYunanistan 
ANSIZIN GELEBİLİRİZ https://t.co/swOOTmXS5t",ANSIZIN GELEBİLİRİZ,Threat of Enmity; War; Attack; Murder; or Harm
1568961709708115977,Greek,"#Türk Milletinin bağrından çıkan vatan evlatları @username @username @username #9Eylül1922 ‘de Gazi Mustafa Kemal ATATÜRK Yunan kafirini İzmir’de Denize döktük diyor!!🇹🇷☝️

İzmirli uyan uyan Güzel İzmiri kime teslim ettiğinin soyunu sopunu araştır!! Kendine gel https://t.co/TlmF7XBHZQ",Yunan kafiri,Swearing; Insult; Defamation; Dehumanization
1533494392857800704,Greek,@username @username @username Senin gibi bir cahille beyni örümceklerimiz adamla tartışmaya niye girecek maça ile alakası yok Yunan tohumu sizlersiniz ben 5vakit başını secdeye koyan bir adamım. Ülkeyi yönetemediniz içine etkini nokta CHP de sokım hayatta sevmem . Şimdi bas git,Yunan tohumu sizlersiniz,Swearing; Insult; Defamation; Dehumanization
1568690982874656768,Greek,"@username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username İzmir’ i kim işgal etmişti ? 650.000 insanımızı kim katletmisti, Osmsnli'mı?
Türk ,İslam düşmanı #YunanTohumları","Türk, İslam düşmanı #YunanTohumları",Swearing; Insult; Defamation; Dehumanization
1535048813177880577,Greek,@username Yunanistan'ın ne kadar borcu var? 1 trilyon dolar? 😂 Umarım savaş başlar ve Türk ordusunun acı gücünü dedelerinizin izmirde tattığı gibi sizde tadarsınız!!! Bu kadar klavye konuşması yeterli. Umarım savaş meydanında karşılaşırız yorgo 😂,"Umarım savaş başlar ve Türk ordusunun acı gücünü dedelerinizin izmirde tattığı gibi sizde tadarsınız!!!,yorgo 😂","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1568676269293805569,Greek,"@username OSMANLIYA DÜŞMAN OLAN ANCAK YUNAN,ERMENİ TOHUMU VEYA YAHUDİ BOZMASIDIR.","YUNAN,ERMENİ TOHUMU VEYA YAHUDİ BOZMASIDIR.",Swearing; Insult; Defamation; Dehumanization
1489206787068809232,Greek,"Yunan dölü,iki şerefsiz,Samsun da Atatürk büstünü yıkmaya çalışmış.
Lan kancıklar,dedelerinizi denize döken Türk Milleti,unutmayın.
İçimizdeki yunan seviciler,değil siz,ağa babanız gelsin.Etekliler...","Yunan dölü,iki şerefsiz,Lan kancıklar,içimizdeki yunan seviciler,Etekliler...","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1568837677587349505,Greek,Üstüne kim alınıyorsa Yunan tohumu odur https://t.co/huefGGnmbZ,Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1568995732404723715,Greek,@username @username Hacım bunlar az orispi değiller bunların ipiyle kuyuya inilmez yapsa bu seferde Yunan sevici derler,"az orispi değiller,Yunan sevici","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1534972141606686730,Greek,"@Serendibli2053 @emsgl1 @SrknUskup @OraybeyR @Rabia299767283 @ylmazilhan5517 @arif5060 @OzanKonyadan @okanylmz_1977 @GUNCELbiziz2 @OzkumMevlus @Zehraozennn @DilaverKaynak2 Altılı masa kuklaları dışardaki ağa babalarından icazet aladursunlar, elçilerle görüşedursunlar, bizim

SON SÖZÜMÜZ BELLİ

#TabikideErdoğan

#ŞakamızYokYunanistan

ANSIZIN GELEBİLİRİZ https://t.co/D8Py0GiGpN

BedrinArslanları 🇹🇷",ANSIZIN GELEBİLİRİZ,Threat of Enmity; War; Attack; Murder; or Harm
1533568837924401153,Greek,Bizler uyumaya devam edelim yunan ve abd tohumu sınırlarımıza yoğun asker ve silah sevkiyati yapsın. Bizler hala sipleme derdinde.Gün birlik beraberlik günü. Başka Türkiye yoktur. Şimdi Silkelenmenin tam da zamanı.,yunan ve abd tohumu,Swearing; Insult; Defamation; Dehumanization
1510728438461644803,Greek,"Yunanistan'ın Adaları silahlandırması apaçık savaş sebebidir, bir an önce gerek siyasi gerekse yaptırım yaparak,  bu ahmak Yunanlılara haddini bildirme zamanı gelmiştir. Yunanlıları Ege'ye dökme zamanı geldi sanırım.",Yunanlıları Ege'ye dökme zamanı geldi sanırım.,Threat of Enmity; War; Attack; Murder; or Harm
1498316974560092168,Greek,@volim_te59 Düşman sadece Yunan gavuru değildi ki yavrum..İngilizi vardı Fransızı vardı... Bir de bunlara yardım eden bizim hocalar vardı…hainler vardı…Vardı da vardı…,"Yunan gavuru,hainler","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1531641360515620869,Greek,"Akdeniz ve Ege’de gerilimi tırmandıran, taciz ve tahriklerini seriye bağlayan Yunanistan ateşle oynamaktadır.

Miçotakis yönetimi denize dökülen vandal dedelerinden ders almamıştır.

Bu gafil zihniyetin anlaşılan odur ki denizin dibini canı tekrar çekmektedir. https://t.co/YXnMqCnwET","Miçotakis yönetimi denize dökülen vandal dedelerinden ders almamıştır.,denizin dibini canı tekrar çekmektedir","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm"
1534981821754228756,Greek,"@username @username @username @username @username @username @username @username @username @username @username @username @username @username Türk'ün gücünü unutmuslarsa hatirlatmasini da biliriz🇹🇷🇹🇷🇹🇷🇹🇷
#ŞakamızYokYunanistan

ANSIZIN GELEBİLİRİZ

BedrinArslanları 🇹🇷 https://t.co/4s70ncY1Id",ANSIZIN GELEBİLİRİZ,Threat of Enmity; War; Attack; Murder; or Harm
1531352909966888960,Greek,"@asliaydintasbas Yunan tohumları gocunsun bu ülke bu devlet bu ordu senin de ordun herhalde o zaman gurur duy bence, herkese anladığı dilden..",Yunan tohumları gocunsun,Swearing; Insult; Defamation; Dehumanization
1552595228435140608,Greek,"Şimdi beş dakika Yunanistan 'da bir Türk'ün bunu Yunanca yazdığını düşünün.. onu ülkeden sınır dışı ederlerdi ki Sevan'a bile dayanamadılar. Tabi Rum gavuru bu haldeyken Türk o sırada "" ahah aynı kültür abi .d , abi halklar kardeş abi, rakı abi"" diye 31 çekiyor. https://t.co/FtCTrZBHxe",Rum gavuru,Swearing; Insult; Defamation; Dehumanization
1566395900380979202,Greek,"yine SALDIRDI ABDİNG İN TASMALI  İTİ.
Sondk!
Milli Savunma Bakanlığı kaynakları, Yunanistan'ın, bu sene başından beri 123 ihlal ve taciz gerçekleştirdiğini açıkladı.",ABDİNG İN TASMALI İTİ,Swearing; Insult; Defamation; Dehumanization
1568882698881757184,Greek,@ihsanaktas Adam! kendi tarihine ve kendi kültürüne lafsölemiyor çünkü adam! Yunan tohumu zannedersen çünkü her platformda onları savunuyor,Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1568695583560581120,Greek,@koronamidye31 @temmuz1919 Yunanistan zaten Türkiye'ye hep provokasyon yapıyordu ama son zamanlarda iyice sıklaştırdı resmen Türkiye'nin sabrını sınıyor tabi Amerikan ve Fransız müttefiklerine güvenerek bunları yapıyor hiç istemem ama savaş çıkarsa o Yunanistan'ı elimizden kimse alamaz ne ABD nede Fransa!,o Yunanistan'ı elimizden kimse alamaz,Threat of Enmity; War; Attack; Murder; or Harm
1492431608397414400,Greek,@username @username @username @username O zaman yallah arabistana Yunan tohumu seni,Yunan tohumu seni,Swearing; Insult; Defamation; Dehumanization
1534954332415737856,Greek,"Sizi kimlerin kışkırtığını biliyoruz..
Ukrayna'yı da kışkırtıp ortada bırakan güçler, şu an aynı oyunu size oynuyor..
Aklınızı başınıza alın dangalaklar😂
 
#ŞakamızYokYunanistan 
ANSIZIN GELEBİLİRİZ
#TabikideErdoğan https://t.co/sZvoT4MBda",ANSIZIN GELEBİLİRİZ,Threat of Enmity; War; Attack; Murder; or Harm
1565270486489128961,Greek,"@username Eee oy kullanma yaşını düşüren aymazlara gelsin,iki fısıltıyla kripto chpkk lılar bizim seçtiklerimize istediklerini yaptırıyorlar sözde biz muhafazakarlar iktidarız ..Tam gavur yunan demokrasi oyunu...Elbet Millet Aslı na Rücu edecek",gavur yunan demokrasi oyunu,Swearing; Insult; Defamation; Dehumanization
1520713472765571072,Greek,"@selmagokcen04 Maksat Ramazan ismini kullanarak İslama hakaret,ne şerefsiz bunlar, ne yunan tohumu atalarımızın denize dökmediği yunan artıkları bunlar.","ne yunan tohumu,yunan artıkları bunlar","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1554568597644754945,Greek,@username @username @username Senden daha Güzel bir gavat mi var doğru ya senin liderin PKK ile FETO ile siyonist İsrail ile kol kola gezmeyi iyi biliyor bu ülkede iç savaş kaçınılmaz ilk fırsatta sızın gibi Yunan Ermeni bozması hayinleri temizlemek gerekiyor çünkü daha kurtuluş savaşı bitmedi 8 ay kaldı,"Yunan Ermeni bozması hayinleri temizlemek gerekiyor,sızın gibi Yunan Ermeni bozması hayinleri temizlemek gerekiyor","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1568340169253867520,Greek,"#Yunan'ın sıradaki hamlesi: Parlamentolarından çıkaracakları kararla, 6 mil olan karasularını, uygulamaya çalıştıkları o sözde 10 millik hava sahasına güya eşitleyecekler.

#Türkiye için bu, elbette ki ""savaş sebebi"" ! Pişman edeceğiz !

""#Türkiye bize saldırdı"" da diyecekler..",elbette ki 'savaş sebebi' ! Pişman edeceğiz !,Threat of Enmity; War; Attack; Murder; or Harm
1572552498984144897,Greek,"@yenisafak BM yi yıllardan beri kullanan senle fetö yandaşlarıydı.
Yunan gavuru saldırmadan bahsediyor 
Adalar için şimdi ye 10 kez ssldırmıştık",Yunan gavuru,Swearing; Insult; Defamation; Dehumanization
1553649340425568256,Greek,"@username Mustafa Kemal Atatürk cephe de bile namaz kılan biriydi,ona müslüman değil diyen gerçek bir Yunan tohumu dur.",gerçek bir Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1502256319620866053,Greek,@username Yunan dölü. Az kaldı bekle.,"Yunan dölü,Az kaldı bekle.","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm"
1566069561060909057,Greek,#TEKNOFESTKARADENİZ Yerli ve milli silahlar dan ANCAK Namussuz kanı bozuk ermeni yunan haçlı kanı taşıyan şerefsiz hain ler rahatsız olur.,Namussuz kanı bozuk ermeni yunan haçlı kanı taşıyan şerefsiz hain ler,Swearing; Insult; Defamation; Dehumanization
