tweet_id,target,text,span,category
1623823644391612416,Immigrant/Refugee,"Mersin KYK kız yurdundan çıkartılan Suriyeliler Konya'ya geliyormuş. Suriyelilerin yeri Konya değil sınır dışı edilmek.

#KonyadaSuriyeliİstemiyoruz","#KonyadaSuriyeliİstemiyoruz,Suriyelilerin yeri Konya değil sınır dışı edilmek","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1624168342125699075,Immigrant/Refugee,ÜLKEEMDEEE MÜLTECİİ İSTEMİYORUUMM #ülkemdemülteciistemiyorum https://t.co/aRfhRJkbzX,ÜLKEEMDEEE MÜLTECİİ İSTEMİYORUUMM,Exclusive/Discriminatory Discourse
1624728009352613889,Immigrant/Refugee,Ekran görüntüsü alın silerler bunu da çünkü. #ülkemdemülteciistemiyorum #AFAD # https://t.co/NmsbXLHNlG,#ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
1623825448865001480,Immigrant/Refugee,"@username Haber Türk muhabiri idi sanırım, BATTANİYELER ÖNCELİKLE SURİYELİLER'E VERİLİYOR demişti diye biliyorum.
Yardım ve gasp Suriyeliler'e, Sürmek de Bizlere...","Yardım ve gasp Suriyeliler'e, Sürmek de Bizlere...",Exaggeration; Generalization; Attribution; Distortion
1624170671960907802,Immigrant/Refugee,"@username #ÜlkemdeMülteciİstemiyorum 
#SuriyelilerSuriyeye😡👊🏽","#ÜlkemdeMülteciİstemiyorum,#SuriyelilerSuriyeye","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1623756920413716481,Immigrant/Refugee,@username #ÜlkemdeMülteciİstemiyorum,#ÜlkemdeMülteciİstemiyorum,Exclusive/Discriminatory Discourse
1624166577082884126,Immigrant/Refugee,Ya bu sorun mecliste çözülecek yada bugünki gibi karşılık bulacaklar #ülkemdemülteciistemiyorum,#ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
1623466808551387140,Immigrant/Refugee,"Allah hepinizin belasını versin be bıktık sizden sizin gibi din kardeşi olmaz olsun kendi nefesinizde boğulursunuz inşallah Allahın belaları #serefsiz #ülkemdemülteciistemiyorum
#uelkemdesuriyeliistemiyorum https://t.co/CwiOIpFhDy","Allah hepinizin belasını versin be bıktık sizden sizin gibi din kardeşi olmaz olsun kendi nefesinizde boğulursunuz inşallah Allahın belaları,#serefsiz,#ülkemdemülteciistemiyorum,#uelkemdesuriyeliistemiyorum","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1624167435212316705,Immigrant/Refugee,Siktirolup gidin artık bu ülkeden.Vatan hainleri sabrımız taştı artık suriyenin piçleri #ülkemdemülteciistemiyorum,"Siktirolup gidin artık bu ülkeden.Vatan hainleri sabrımız taştı artık suriyenin piçleri,#ülkemdemülteciistemiyorum","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse"
1623824556006772738,Immigrant/Refugee,"SURIYELILERI KYK YURTLARINA DEGIL ULKELERINE GONDERIN!! HIRSIZLARLI, GASPCILARLI, FIRSATCILARI, SAPIKLARI ULKEMIZDE ISTEMIYORUZ!!! #SuriyelilerSehirlerdenCıkartın #suriyeliler #TurkeySyriaEarthquake","HIRSIZLARLI, GASPCILARLI, FIRSATCILARI, SAPIKLARI ULKEMIZDE ISTEMIYORUZ!!!,#SuriyelilerSehirlerdenCıkartın","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1624403688348319744,Immigrant/Refugee,#ÜLKEMDEMÜLTECİİSTEMİYORUM https://t.co/u2USvIzS5t,#ÜLKEMDEMÜLTECİİSTEMİYORUM,Exclusive/Discriminatory Discourse
1624183180029730816,Immigrant/Refugee,#UElkemdeMuelteciİstemiyorum #UElkemdeSuriyeliİstemiyorum https://t.co/gmbZF671Jc,"#UElkemdeMuelteciİstemiyorum,#UElkemdeSuriyeliİstemiyorum","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1624244302149832705,Immigrant/Refugee,"@username #ülkemdemülteciistemiyorum 
#suriyeliyağmacılarıistemiyorum","#ülkemdemülteciistemiyorum,#suriyeliyağmacılarıistemiyorum","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1624379851179192320,Immigrant/Refugee,"Bu tag için çok geç kalındı..açık ve net mültecileri yollamayacak partilere oy yok..

#ülkemdemülteciistemiyorum",#ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
1624714686930251776,Immigrant/Refugee,#ÜlkemdeMülteciİstemiyorum https://t.co/agAR5l46lR,#ÜlkemdeMülteciİstemiyorum,Exclusive/Discriminatory Discourse
1623751737654886400,Immigrant/Refugee,@username #UELKEMDESURİYELİİSTEMİYORUM #uelkemdesuriyeliistemiyorum #UElkemdeMuelteciİstemiyorum #UElkemdeSuriyeliİstemiyorum,"#UELKEMDESURİYELİİSTEMİYORUM,#uelkemdesuriyeliistemiyorum,#UElkemdeMuelteciİstemiyorum,#UElkemdeSuriyeliİstemiyorum","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1624244378901311491,Immigrant/Refugee,"@username #ülkemdemülteciistemiyorum 
#suriyeliyağmacılarıistemiyorum","#ülkemdemülteciistemiyorum,#suriyeliyağmacılarıistemiyorum","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1623765651096584200,Immigrant/Refugee,Mültecilerden nefret ettiğim bir radde daha ülkemiz büyük bir deprem dolayısı ile yas tutuyor böyle bir zamanda gördüğüm görüntülere artık diyecek söz bulamıyorum şerefsizler #ülkemdemülteciistemiyorum bu kadar,"Mültecilerden nefret ettiğim bir radde,şerefsizler,#ülkemdemülteciistemiyorum","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse"
1624170659013091348,Immigrant/Refugee,#ülkemdemülteciistemiyorum hadi sözde din kardeşlerimiz narş narş ülkelerinize https://t.co/N6qOQqBVvD,#ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
1624166538528841767,Immigrant/Refugee,Bir gün ülkeye Bukadar mülteci aldığınızın da bir hata olduğunu söyleyeceksiniz.. umarım bunu söylediğiniz gün çok geç kaldığınız günlerden biri gibi olmaz. #ülkemdemülteciistemiyorum 🇹🇷,#ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
1624334610946576384,Immigrant/Refugee,@username Ben #UElkemdemuelteciistemiyorum #UElkemdeSığınmacıİstemiyorum #Muelteciistemiyorum #artıkyeter,"#UElkemdemuelteciistemiyorum,#UElkemdeSığınmacıİstemiyorum,#Muelteciistemiyorum,#artıkyeter","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1624925697918529537,Immigrant/Refugee,@username Gönderin gitsinler ozaman.. Yada biz boşaltalım ülkeyi onları tamamen taşıyın ülkenin ortasına... #ülkemdemülteciistemiyorum,#ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
