tweet_id,target,text,span,category
1402153335696809988,Jew,"⭕ Sıcak Gelişme @AlqassamMedia 

Siyonist Yerleşimci grupları işgal güçlerinin koruması altında Mescid-i Aksa'nın avlusunu bastı. 

#MescidiAksa #Kudüs #FilistinKazanıyor #gazze #kahrolsunisrail #HopeToGaza https://t.co/dPHP5Bn2On",kahrolsunisrail,Threat of Enmity; War; Attack; Murder; or Harm
1353048938450976770,Jew,#Katilİsrail https://t.co/A2uX5Uygxs,Katilİsrail,Swearing; Insult; Defamation; Dehumanization
1392430768895545347,Jew,"#GazaUnderAttack
#FreePalestine 
#AksadaZulumVar
#IsraeliTerrorism https://t.co/3pErU1wRoA",IsraeliTerrorism,Swearing; Insult; Defamation; Dehumanization
1398707385770909698,Jew,@username Nedense #katilisrail e verdiğimiz tepkiden hemen sonra peker i aç ı mağduru abd si İsrail i bae si cartı curtu kim varsa sunni Müslüman karşıtı hepsi kol kola girip cambazlığa başladılar ama bilsinler biz yolumuzdan dönmedik yanlız bırakmayız....,katilisrail,Swearing; Insult; Defamation; Dehumanization
1392942288809218052,Jew,"@username @username #AksadaBaskınVar #المسجد_الأقصى
#Freedomofprayer #PalestinianLivesMatter #SavePalestine #AlAqsaMosque #AlAqsaUnderAttack #IsraeliTerrorism #FreePalestine #Katilİsrail #GazaUnderAttack",Katilİsrail,Swearing; Insult; Defamation; Dehumanization
1391860514108723207,Jew,"YA KAHHAR, İşgalci israili ve ona desdek olanlari kahru perişan eyle Yâ Rabbî  #AksadaBaskınVar https://t.co/FiGqWZ34BI",kahru perişan eyle,Threat of Enmity; War; Attack; Murder; or Harm
1557069742384488448,Jew,"@username Kahrolsun İsrail
Terör Devleti itrail","kahrolsun,Terör Devleti itrail","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1395035427845939210,Jew,"@_cemileciritt Amin ya Rabbiyel âlemîn
#Katilİsrail",Katilİsrail,Swearing; Insult; Defamation; Dehumanization
1392992342500679681,Jew,#GenocideinGaza #IsraelTerrorist #FreePalestin #katilisrail #israelterrorist #freepalestine #IsraeliTerrorism https://t.co/aiOTImiJrp,"katilisrail,israelterrorist","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1391905861543600134,Jew,Allah bu dinsizlerin belasini versin muslumanlari galip eylesin israili kahir ismi ile kahreylesin #AksadaBaskınVar,israili kahir ismi ile kahreylesin,Threat of Enmity; War; Attack; Murder; or Harm
1392914857821884416,Jew,#kahrolsunisrail https://t.co/w9mtxxXzNh,kahrolsunisrail,Threat of Enmity; War; Attack; Murder; or Harm
1391965559030525959,Jew,"#MescidiAksaOnurumuzdur 
#KudusBizimdir 
#Katilİsrail 
#cocukkatiliisrail 
#AksadaBaskinVar","Katilİsrail,cocukkatiliisrail","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
