Tweet_id,Text,Error Label,Span,Span Label,Correct Span,Category,Category Label,Correct Categories,Target,Target Label,Correct Targets,Notes
1657996401190620928,@Trabzon85471200 @ekrem_imamoglu kim? Daha Tuncelili Alevi keMAL i yenemiyor . Bir Karadenizli olarak utandım Reis den.  Reisi 3 ayda 2 kere yenen İMAMOĞLU 1 numara Trabzonlii,Correct,Daha Tuncelili Alevi keMAL i yenemiyor,Correct,,Swearing; Insult; Defamation; Dehumanization,Incomplete,Swearing; Insult; Defamation; Dehumanization; Symbolisation,Alevi,Incomplete,"Alevi, görüş/statü/mesleki pozisyon",
1658009740398543104,"@AsyaBalluca Bir alevi olarak söylüyorum Asil dalyaraklar alevilere kimsenin oy vermicegini bildiği halde Kılıçdaroğlu huloglugu yapan alevilerdir amk !
Artik cuvaldizi kendinizr batirin!",Correct,Asil dalyaraklar alevilere kimsenin oy vermicegini bildiği halde Kılıçdaroğlu huloglugu yapan alevilerdir amk,Correct,,Swearing; Insult; Defamation; Dehumanization,Correct,,Alevi,Wrong,görüş/statü/mesleki pozisyon,
1658023853698736128,@oceanids__ @alynzn @ananbenissever Kitle muhafazakar milliyetçi ülkücü sen PKK destekçileri ile bir olup üstüne inança saygısızlık edip Alevi lider çıkaracaksın Sünni muhafazakar insanlar sana oy atacak tanıyın Anadolu’yu artık tanıyım bu insanları ve saygı duyum yoksa çok daha kaybedersiniz,Correct,sen PKK destekçileri ile bir olup üstüne inança saygısızlık edip Alevi lider çıkaracaksın,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,Alevi,Correct,,
1658053150589239040,@feyzaltun Halamı eridiğinizi görün artık ana muhalefet bile değilsiniz Türk milliyetçileri oyunu %26 ya taşıdı chp hdple açık ve net içiçe geçmiş kapanması gereken terör partisidir chpdeki bölücü ayrılıkçı alevi ve kürtler olduğu sürece kaybedecektir,Correct,chp hdple açık ve net içiçe geçmiş kapanması gereken terör partisidir chpdeki bölücü ayrılıkçı alevi ve kürtler olduğu sürece kaybedecektir,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,Alevi,Incomplete,"Alevi, Kürt, görüş/statü/mesleki pozisyon",
1658113233851497984,"@umaydoktrin Gerçek bir cumhuriyetçi mi? Atatürk'ün takipçisi mi? Yoksa Türkiye'yi bölmek ve zayıflatmak isteyen İran'a bağlı bir Alevi mi?
Laik dini bir işaret takıyor mu? https://t.co/ikgvwrWjqs",Correct,Türkiye'yi bölmek ve zayıflatmak isteyen İran'a bağlı bir Alevi mi,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,Alevi,Correct,,
1658163300436259072,@kemalozturk2020 İyi akşamlar kemal bey instegram hesabınızada yazdım ama ben sinan oğana oyumu verdim ve ikinci turda oy kullanmayı düşünmüyorum ve sinan bey bize şurayı desdekliyelim dese dahi onu dinlemeyiz heleki alevi olan lgbd ci olan demirtaşcı yani pkk olan kılıçtaroğunu kesinlikle,Correct,heleki alevi olan lgbd ci olan demirtaşcı yani pkk olan kılıçtaroğunu kesinlikle,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,Alevi,Incomplete,"Alevi, LGBTQ+, görüş/statü/mesleki pozisyon",
1658175227983977984,@basgancokfevri Ciddi şekilde alevi lobisi var. Ve bunların büyük bir kısmı dersimci lobi. Bunların alayını tasfiye edip yerine ulusalcıları alacaksın.,Correct,Ciddi şekilde alevi lobisi var. Ve bunların büyük bir kısmı dersimci lobi. Bunların alayını tasfiye edip,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,Alevi,Correct,,
1658206215023762944,@umaydoktrin @kilicdarogluk Siz de şunu anlamıyorsunuz kardeşim adam Türk değil ki miliyetci olsun. Alevi maskeli ermeni bu adam. CHP'yi ele geçirmişler. Buna oy veren kamalistler şaşırmış akıl tutulması yaşıyorlar,Correct,Siz de şunu anlamıyorsunuz kardeşim adam Türk değil ki miliyetci olsun. Alevi maskeli ermeni bu adam.,Correct,,Swearing; Insult; Defamation; Dehumanization,Correct,,Alevi,Incomplete,"Alevi, Ermeni",
1658381906323418880,"@OkanBaskan10 @aliaktas7 Valla gardas alevi koylerindeki sonuclara bakiyorumda,
Cemevini acan akparti
Suyu elektrigi bedava yapan akparti
Devlette baskanlik veren akparti
Zulum gordukleri chp
Oylar chp ye..
Ben bundan mezhepcilik yapiyorlar anlarim..
O halde mezhepciyim bir aleviye asla oy vermem.
NOKTA.",Correct,mezhepciyim bir aleviye asla oy vermem,Correct,,Exclusive/Discriminatory Discourse,Correct,,Alevi,Correct,,
1658423605900747008,@sevdaturkusev @EmniyetGM şeref.sizlerin gerçek yüzü bu şerefsiz alevi türkiyeye geldiği zaman emniyetten sonra bende ağırlarım bunu !,Correct,şerefsiz alevi türkiyeye geldiği zaman emniyetten sonra bende ağırlarım bunu,Correct,,Swearing; Insult; Defamation; Dehumanization,Incomplete,Swearing; Insult; Defamation; Dehumanization;Threat of Enmity; War; Attack; Murder; or Harm,Alevi,Correct,,
