tweet_id,target,text,span,category
1534982546592874498,Greek,"@username @username @username @username ANSIZIN GELEBİLİRİZ
#ŞakamızYokYunanistan https://t.co/JNgBsBrErh",ANSIZIN GELEBİLİRİZ #ŞakamızYokYunanistan,Threat of Enmity; War; Attack; Murder; or Harm
1566515940090601472,Greek,"Yunanistan için tehlike sirenleri çalıyor… 
Titre Yunanistan… 
Bir gece ansızın gelebiliriz… https://t.co/PaK3xJiO8k",Titre Yunanistan… Bir gece ansızın gelebiliriz,Threat of Enmity; War; Attack; Murder; or Harm
1540567716918185984,Greek,"Araplar bizi arkadan vurdu diye havlayanlar 
Anadolu'yu işgal eden çoçuk kadın yaşlı demeden katleden  Yunan Fransız İngiliz gavuruna tek laf etmez 
Sizin sahte milliyetçiliğinize  Sahte Türkçülüğünüze sokayım
Sizin Düşmalıgınız Araplara değil İslama","Anadolu'yu işgal eden çoçuk kadın yaşlı demeden katleden Yunan Fransız İngiliz gavuruna tek laf etmez,Sizin sahte milliyetçiliğinize Sahte Türkçülüğünüze sokayım","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1538989341380427777,Greek,"adamlarda savaş var ruble dolara karşı değer kazanıyor
savaşa mı girsek napsak ?
ne diyordu o sağcı yunan pzvnk https://t.co/zQdiw5qKvU",ne diyordu o sağcı yunan pzvnk,Swearing; Insult; Defamation; Dehumanization
1515041522336645122,Greek,@username @username Mal Yunan tohumu,Mal Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1510003278297321484,Greek,sanırsin istilaya ugradik talana geliyorlar Devlet nerde ... yer yüzunde böyle istilaya ugramiş bir ülke yok yunan 4 piç için set çekti ordu yigdi ülkeyi yöneten ülkeyi satmiş amerika esir almiş her boku bize gönderiyor https://t.co/N4SimI7Ni3,yunan 4 piç için,Swearing; Insult; Defamation; Dehumanization
1534633622392786945,Greek,"@hilal_kaplan Abd ordusu direkt müdahale kabiliyeti yok;
MAYIN EŞEKLERİ   organik uzvu nato ve aparatı terör örgütleri fetöpkk ile dedeağaçtan gara'ya kurmak istediği hat 100 yıl öncesinin işgal saldırısının devamı... Yunanistan da burda eşeğin önde gideni
İsveç mi 
***
https://t.co/JGiO7YPCKY",Yunanistan da burda eşeğin önde gideni,Swearing; Insult; Defamation; Dehumanization
1484862550202331139,Greek,@Sezzenaksu Sezenaksu aptalın önde gidenisin.sigirsin.peygamber düşmanısin.ulkeyi terket.oruspu.yunan tohumu.salakahpe.icindeki o Müslüman düşmanlığını bikelime ile kusdun.gerizekali.itoluit babanin 60yil önceki 5dk Lik hatası yüzünden bugün senin gibi bı hayvanla uğraşıyor müslümanlar,Siktir git o. çocuğu putperest Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1566422395761606656,Greek,@username Senin tarafın ne onu konuş açıkca yunan taciz etsin türkiye sussunmu valla Türk milleti öyle geriden hırlayıp havlayan köpeğe boyun bükmez 50 yaşındayım gerekirse cepheye giderim boynu bükük ezik yaşamaktansa mertçe ölürüm yunanıda denize bidaha gömerim,önümüzdeki başkanlık seçimlerinde denize bidaha gömerim,Threat of Enmity; War; Attack; Murder; or Harm
1568296128579346432,Greek,"Bir gece ansızın gelebiliriz, hemde heryere gelebiliriz dedi. Yunanistan  korkudan ne yapacağını nereye kime sarılacağını şaşırdı. 😁😁

AŞKIMIZ TÜRKİYE SEVDAMIZ RTE https://t.co/TnCgaaHaxP",ANSIZIN GELEBİLİRİZ,Threat of Enmity; War; Attack; Murder; or Harm
1568530150484058112,Greek,"@username @username YUNAN ARTIĞI MASON SOYUN 
ATATÜRK MASON LOCALARINI KAPATTI CHP Yİ UNUTMUŞ
Cumhuriyet Hıristiyan Partisi CHP
SOYSUZ İT SÜRÜLERİ

9 EYLÜL DE NE OLDU
KİMDEN KURTULDU İZMİR

OSMANLI TORUNUYUM https://t.co/X2nvhEU9lX","YUNAN ARTIĞI MASON SOYUN,SOYSUZ İT SÜRÜLERİ","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1552751979843182594,Greek,@Aslidiyorki1453 Türkün dediğine değilde yunanın dediğine uy yunan tohumu seni.,yunan tohumu seni,Swearing; Insult; Defamation; Dehumanization
1568671532406444032,Greek,"@username Gündem Yunan seviciliği.

Sezen'den tut, Necdet Sezer'e, Cem Yılmaz'dan tut, Özgür'e hepsinin kökeni Selanik.

Bildiğimiz başka Selanikliler de var elbet ama kanun korumasında...

İçimizde ki Yunanlılar birbiriyle hayli manidar dirsek temasında!

#YunanTohumları
@username","içimizde ki Yunanlılar,YunanTohumları","Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization"
1568722539781947392,Greek,"@Ahaber Dünya Tarihinin En Azametli Tarihini Yazar Şanlı Ecdadimizin Adını Destursuz anan serseriler

""""Bu milletin Ferdi Değillerdir""""

Yoksa kimse Kendi Arasına Sövecek Kadar Aşağılıklaşamaz 

Bunlar Olsa olsa Yunan Dölü Olması Lazm getir...",Yunan Dölü Olması Lazm,Swearing; Insult; Defamation; Dehumanization
1569232032651218944,Greek,"Yunanlılara yüzme öğrettiğimiz savaş hangisi? 
 KPSS çalışırken aklıma şöyle bi soru geldi 😂
      #YunanistanAteşleOynuyor",Yunanlılara yüzme öğrettiğimiz savaş,Exclusive/Discriminatory Discourse
1532656496722464770,Greek,Yunanistan provokasyon Rumlar kışkırtma peşinde https://t.co/qtUy24gmxq @hurriyetcomtr aracılığıyla,Yunanistan provokasyon Rumlar kışkırtma peşinde,Exaggeration; Generalization; Attribution; Distortion
1568573271431430144,Greek,@tuncsoyer Yunan tohumu oldugun belli Atatürk yerinden kalksa seni seningibileri denize dokerdi hain azkaldii hepinizi soyunuzu denize dokecegiz alcak senii,"Yunan tohumu,hepinizi soyunuzu denize dokecegiz alcak","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm"
1566140775255113729,Greek,@username Suriye’de şu ypg  argümanı olmasa Yunan’a çoktan şamarı atmıştık işgal ettikleri adalar mevzusunda.ancak hem Suriye ypg tarafında hemde Yunanistan’dakarşına ABD askeri gücü çıkıyor. Etrafımız sarılı bunukabul edelim. Ama herşeyin bır sırası var ve o sıra Birgün gelecek Yunan İÇİN,Yunan’a çoktan şamarı atmıştık işgal ettikleri adalar mevzusunda,Threat of Enmity; War; Attack; Murder; or Harm
1523570692696190976,Greek,"Ülkeyi 3,5 yıl işgal edip annesinin karnındaki bebeklere varıncaya Kadar süngüleyen Yunan'a dost diyen ders kitapları...
 Osmanlıya Hain diyorsa bu kitapları kim yazıyor diye sormak hakkımızdır...M.a",annesinin karnındaki bebeklere varıncaya Kadar süngüleyen Yunan,Exaggeration; Generalization; Attribution; Distortion
1568614003865174018,Greek,@tuncsoyer Yunan artığı şerefsiz.,Yunan artığı,Swearing; Insult; Defamation; Dehumanization
1572092077370134528,Greek,"@username Doğalgaz işi gerçek olsaydı, Yunan tıpkı adalarımıza çöktüğü gibi doğalgaza da çökerdi.. Sonra da reis çıkıp eeeyyyyy Yunan bir gece ansızın gelebiliriz deyip koyunların gazını alırdı..",eeeyyyyy Yunan bir gece ansızın gelebiliriz,Threat of Enmity; War; Attack; Murder; or Harm
1568710239653879808,Greek,"@username 2004 yılından beri adalarımız işgal edilmeye başladı şu anda 20 adamızda Yunan bayrakları dalgalanıyor,Abd silahları ve askerleri var ayrıca bu yıl Yunanistan’da da seçim olacak,Hepsini BirDeğerlendirmekLazımHocamAmaElbette TC DevletOlarakGüçlüdür,ZamanıGeldiğindeCevabınıVerir🇹🇷",20 adamızda Yunan bayrakları dalgalanıyor,Exclusive/Discriminatory Discourse
1568699993565073409,Greek,"@username @username @username @username Gündem Yunan seviciliği.

Sezen'den tut, Necdet Sezer'e, Cem Yılmaz'dan tut, Özgür'e hepsinin kökeni Selanik.

Bildiğimiz başka Selanikliler de var elbet ama kanun korumasında...

İçimizde ki Yunanlılar birbiriyle hayli manidar dirsek temasında!

#YunanTohumları
@username","İçimizde ki Yunanlılar,YunanTohumları","Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization"
1568682522812334083,Greek,Yunanistan fena kaşınıyor. İnşallah bu süreci akıllıca yönetiriz. Ama 1 tl ekmek 5 tl ekmek muhabbetlerini yapan kişilerden çok akıllıca hareketler bekleyemiyorum ne yazık ki.,Yunanistan fena kaşınıyor,Threat of Enmity; War; Attack; Murder; or Harm
1540220153937510402,Greek,"@username 87gün öyle mi?
87 günde yunan kaç köy yaktı,kaç Türk evladını şehit etti,kaç kızın ırzına geçti acaba!
Yunangalip gelseydi diyeni,ingiliz gemisiyle kaçanı savunanlar,ogün şehit olan evlatların çektikleri için ""işgal miymiş"" demeye de cürret ederler.

Başbuğ hepsinin cevap vermiş! https://t.co/flWYSlnauc","87 günde yunan kaç köy yaktı,kaç Türk evladını şehit etti,kaç kızın ırzına geçti acaba!",Exaggeration; Generalization; Attribution; Distortion
1568341795066580995,Greek,"@username Bir gece ansızın gelebiliriz, hemde heryere gelebiliriz dedi. Yunanistan  korkudan ne yapacağını nereye kime sarılacağını şaşırdı. 😁😁

AŞKIMIZ TÜRKİYE SEVDAMIZ RTE ❤",ansızın gelebiliriz,Threat of Enmity; War; Attack; Murder; or Harm
