tweet_id,target,text,span,category
1623823264777744386,Immigrant/Refugee,"@username Bu noktada Suriyeliler tarafından yapılan yağmalara sessiz kalmaları iç karışıklık çıksın istemelerinin göstergesi, İç savaş ya da karışıklık bahanesiyle seçimi ertelemeleri için gerekçe olacak. Aksi takdirde seçimi erteleme imkanları olmadığını kendileri de çok iyi biliyor.",Suriyeliler tarafından yapılan yağmalara sessiz kalmaları,Exaggeration; Generalization; Attribution; Distortion
1625585349161324544,Immigrant/Refugee,"Savaşın ortasında evsiz kaldı diye aldığımız suriyeliler, bugün biz evsiz kaldık diye bizi yağmaladı taciz etti çaldılar. Unutmayın bu günleri. TÜRK.","Suriyeliler, bugün biz evsiz kaldık diye bizi yağmaladı taciz etti çaldılar",Exaggeration; Generalization; Attribution; Distortion
1624538733008617474,Immigrant/Refugee,"@username #UElkemdeMuelteciİstemiyorum #UElkemdeSuriyeliİstemiyorum #UElkemdeSığınmacıİstemiyorum #ULKEMDESURIYELIISTEMIYORUM #Suriyelilersinirdisiedilsin #suriyeliistemiyoruz #SuriyelilerSehirlerdenCıkartın 
 #yağmacılaravuremri #AskerVePoliseVurEmri #VUREMRİVERİLSİN #VurEmriVerilsin",#UElkemdeMuelteciİstemiyorum #UElkemdeSuriyeliİstemiyorum #UElkemdeSığınmacıİstemiyorum #ULKEMDESURIYELIISTEMIYORUM #Suriyelilersinirdisiedilsin #suriyeliistemiyoruz #SuriyelilerSehirlerdenCıkartın #yağmacılaravuremri #AskerVePoliseVurEmri #VUREMRİVERİLSİN #VurEmriVerilsin,Exclusive/Discriminatory Discourse
1624538913447546883,Immigrant/Refugee,"#UElkemdeMuelteciİstemiyorum #UElkemdeSuriyeliİstemiyorum #UElkemdeSığınmacıİstemiyorum #ULKEMDESURIYELIISTEMIYORUM #Suriyelilersinirdisiedilsin #suriyeliistemiyoruz #SuriyelilerSehirlerdenCıkartın 
 #yağmacılaravuremri 
 #AskerVePoliseVurEmri #VUREMRİVERİLSİN #VurEmriVerilsin",#UElkemdeMuelteciİstemiyorum #UElkemdeSuriyeliİstemiyorum #UElkemdeSığınmacıİstemiyorum #ULKEMDESURIYELIISTEMIYORUM #Suriyelilersinirdisiedilsin #suriyeliistemiyoruz #SuriyelilerSehirlerdenCıkartın #yağmacılaravuremri #AskerVePoliseVurEmri #VUREMRİVERİLSİN #VurEmriVerilsin,Exclusive/Discriminatory Discourse
1624166173389512722,Immigrant/Refugee,Yeter artık SABRIMIZ TÜKENDİ ! #ülkemdemülteciistemiyorum https://t.co/INcAM3iJVH,Yeter artık SABRIMIZ TÜKENDİ !,Threat of Enmity; War; Attack; Murder; or Harm
1624419488819978240,Immigrant/Refugee,"@username hiç istememiştik şimdi daha kararlı bir şekilde istemiyoruz..
#ülkemdemülteciistemiyorum",hiç istememiştik şimdi daha kararlı bir şekilde istemiyoruz.. #ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
1623772628824608773,Immigrant/Refugee,@username @username @username #UElkemdeMuelteciİstemiyorum,#UElkemdeMuelteciİstemiyorum,Exclusive/Discriminatory Discourse
1623459783096279040,Immigrant/Refugee,@username Antakya’da Kardeşler Mahallesi(Dağ Mahallesi)’nde Suriyeliler insanlardan zorla erzak ve kıyafetlerini alıyorlar. Lütfen yardımcı olalım. Polis veya askeri bir destek yok insanlar zarar görüyor. Konum olarak hava şartlarından etkilenen bir yer. Kıyafet yorgan vb zorla alınıyor.,Suriyeliler insanlardan zorla erzak ve kıyafetlerini alıyorlar. Lütfen yardımcı olalım. Polis veya askeri bir destek yok insanlar zarar görüyor,Exaggeration; Generalization; Attribution; Distortion
1624527198966231041,Immigrant/Refugee,"@username @username @username Devlet adam gibi müdahale etse , bunlar zaten yaşanmaz . Bu Suriyeliler yüzünden millet neler çekiyor , önce bir araştır sonra fikrini yaz . Boş boş yazma",Bu Suriyeliler yüzünden millet neler çekiyor,Exaggeration; Generalization; Attribution; Distortion
1624332105537683458,Immigrant/Refugee,"Şu saatten sonra ülkemizde mülteci  barındırırsak bu hepimizin ayıbı !!
#UElkemdemuelteciistemiyorum",Şu saatten sonra ülkemizde mülteci  barındırırsak bu hepimizin ayıbı !!,Exclusive/Discriminatory Discourse
1623825545204047878,Immigrant/Refugee,@username @username ne evsizi ya giren bütün suriyeliler yurttan apar topar çıkan öğrencilerin eşyalarını yağmalıyor benim ülkemin insanları hala dışarıda soğuktan donarken göz yummacağız bu duruma nargilesiyle gelen suriyelilerin depremden üstüne kalın bir şeyler almadan çıkan insanlardan daha zor,"ne evsizi ya giren bütün suriyeliler yurttan apar topar çıkan öğrencilerin eşyalarını yağmalıyor,nargilesiyle gelen suriyelilerin","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1623704728994562050,Immigrant/Refugee,@username #UElkemdemuelteciistemiyorum,#UElkemdemuelteciistemiyorum,Exclusive/Discriminatory Discourse
1623568095150239744,Immigrant/Refugee,"Kendi vatanını savunmayıp kaçan kahqeler burada delikanlı oluyor 
#uelkemdeoruspucocuğuistemiyorum 
#UElkemdemuelteciistemiyorum",Kendi vatanını savunmayıp kaçan kahqeler burada delikanlı oluyor #uelkemdeoruspucocuğuistemiyorum,Swearing; Insult; Defamation; Dehumanization
1624783480784650240,Immigrant/Refugee,@username #UElkemdeMuelteciİstemiyorum,#UElkemdeMuelteciİstemiyorum,Exclusive/Discriminatory Discourse
1623821390741733376,Immigrant/Refugee,"@username Deprem bölgesinde yağma yurtta rezillik marketlerde yağmacılık sizlemi uğraşacağız.
Yunanistan kadar olamadınız. Onlar bile sizden daha iyiymiş . Defolun Suriyeliler.",Deprem bölgesinde yağma yurtta rezillik marketlerde yağmacılık sizlemi uğraşacağız. Yunanistan kadar olamadınız. Onlar bile sizden daha iyiymiş. Defolun Suriyeliler.,Swearing; Insult; Defamation; Dehumanization
1625256735618351104,Immigrant/Refugee,"@username @username @username @username İsmail saymaz güvenilecek bir kişi değil soylunun beslemesi, kaldı ki doğruda olabilir ama yağma görüntülerindeki, hırsızlık görüntülerindeki, tecavüz haberindeki suriyeliler gerçeğini değiştirmez","yağma görüntülerindeki, hırsızlık görüntülerindeki, tecavüz haberindeki suriyeliler gerçeğini değiştirmez",Exaggeration; Generalization; Attribution; Distortion
1624310422403788800,Immigrant/Refugee,"Sana sonuna kadar katılıyorum Halil bey ve destekliyorum #ülkemdemülteciistemiyorum
@username @username @username @username https://t.co/o9DWpeo4hy",#ülkemdemülteciistemiyorum,Exclusive/Discriminatory Discourse
