tweet_id,target,text,span,category
1659279732498657280,Immigrant/Refugee,لا اعتقد لأن باكستان ليست موطنهم الأصلي فلو كان فيه ترحيل كانت الاتفاقية مع دولتهم بورما لكن يبدو أن دولتهم ترفض رجوعهم رفضا باتا فلم يكن معهم سوى هذا الحل فتستفيد باكستان من رسوم الاستخراج والتجديد وكذلك تستفيد السعودية,"باكستان ليست موطنهم الأصلي,دولتهم ترفض رجوعهم رفضا باتا","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1657680988460273665,Immigrant/Refugee,"فرنسية حطوها مغربية وليتهم سكتوا ما خلوا جنسية عربية الا واساؤوا لهن

#ترحيل_المغربيات_مطلب","ما خلوا جنسية عربية الا واساؤوا لهن,#ترحيل_المغربيات_مطلب","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1659575617656848386,Immigrant/Refugee,"طيب كل الي بالهشتاق متجاوزات ماحطوا محتشمات وشريفات
يجب ترحيل الجنسيه هذي وما تطب السعودية الا للعمره وللحج فقط وبعدها لديارهم افسدوا من الشباب ما افسدوا بسبب الدعا^ره والامراض الجنسيه","يجب ترحيل الجنسيه هذي وما تطب السعودية الا للعمره وللحج فقط وبعدها لديارهم,افسدوا من الشباب ما افسدوا بسبب الدعا^ره والامراض الجنسيه","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1659158879161262080,Immigrant/Refugee,"شفت البيوت الحمرا اللي وأنت داخل على الحرم هذي بيوتهم

طبعا الدولة من سنة أزالت هذا التلوث البصري وبإذن الله ترحيل 

عددهم وصل  ٢ مليون وليس ٥٠٠ ألف يتوالدون بكثرة","إزالة هذا التلوث البصري,يتوالدون بكثرة","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1659847595026530304,Immigrant/Refugee,حسابك كله عن سوريا مصدقين انك سعودية كملي او كمل معروف عنكم انتحال شخصيات نسائيه  ، و ان شاء الله يتم ترحيل السوريين الى بلدهم ونرتاح ,ان شاء الله يتم ترحيل السوريين الى بلدهم ونرتاح,Exclusive/Discriminatory Discourse
1659538203030716416,Immigrant/Refugee,"الشايب المفروض انه ينتبه لاخرته بدل ماياخذ وحده صغيره وهو يدري انها متزوجته ع طمع وتنتظره يموت 
وللمعلوميه المغربي مايتزوج مغربيه العنوسه عندهم مرتفعه يروح يتزوج من برى لان المغربيه سمعتها فايحه 
مايتزوجها الا واحد خبل ماتهمه السمعه 
#ترحيل_المغربيات_مطلب 
#ترحيل_المغربيات_مطلب2","المغربي مايتزوج مغربيه العنوسه عندهم مرتفعه,المغربيه سمعتها فايحه,#ترحيل_المغربيات_مطلب,#ترحيل_المغربيات_مطلب2","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1659127964523544576,Immigrant/Refugee,"وكأنهم يقولون انت يا أبن الوطن 
اقسم بالله انا نعيشك في ضيق 
ماهذا التعاون والتكاتف بينهم
اسواق الخضار والفواكه اجانب 
الذهب اجانب التوصيل اجانب
بعض الشركات توظفهم حراسات
اقسم بالله الوضع بحاجة وقفه
من جميع اجهزة ألدولة في ترحيل
٥٠٪ منهم او ٦٠٪ 
يالربع قسم بالله امس في حلقة… Show more","اقسم بالله انا نعيشك في ضيق,ماهذا التعاون والتكاتف بينهم,اسواق الخضار والفواكه اجانب,الذهب اجانب التوصيل اجانب,اقسم بالله الوضع بحاجة وقفه من جميع اجهزة ألدولة في ترحيل ٥٠٪ منهم او ٦٠٪","Threat of Enmity; War; Attack; Murder; or Harm,Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Threat of Enmity; War; Attack; Murder; or Harm"
1659203265907789825,Immigrant/Refugee,"#ترحيل_المغربيات_مطلب 
شوقي لهاذ، الهاشتاق  الخليجي
ههه 
تبهديلة ","ترحيل المغربيات,تبهديلة","Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization"
1658217611304247307,Immigrant/Refugee,"المغربيات مسوين آلاف البثوث في تك توك كلها عبارة عن قذف وسب وشتائم وإساءة للمرأة السعودية والسعوديات ،، وطبعا هذا الجزء بسيط جدا من بذاءة لسانهم والفاظهم البذيئة التي تمثلهم.

#ترحيل_المغربيات_مطلب","المغربيات مسوين آلاف البثوث في تك توك كلها عبارة عن قذف وسب وشتائم وإساءة للمرأة السعودية والسعوديات,هذا الجزء بسيط جدا من بذاءة لسانهم والفاظهم البذيئة التي تمثلهم","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1659543650940878848,Immigrant/Refugee,"و بيقول ""بلدنا""
حضروا حالكن لثلاث ملايين حاقد جديد على لبنان يشوهوا صورتنا برا قائلين انهم لبنانيين ولبنان بلدهم

#ترحيل_السوريين_مطلب_امني_ووطني","ثلاث ملايين حاقد جديد على لبنان,يشوهوا صورتنا برا قائلين انهم لبنانيين ولبنان بلدهم","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
