tweet_id,target,text,span,category
1658121087777906944,Kurdish,Sen kimsin ŞARLATAN              Sen kime cellat diyorsun ? Sen AHMAGIN önde gidenisin  kelimeler kifayetsiz kakıyormuş . Halkın verdiği oya önce saygı göstermeyi öğren . Biz Hdp ye oy veren Kürt seçmene dahi hakaret etmiyoruz . Git evde bulaşık yıka çıkma sokağa https://t.co/unNUHWpOeZ,"kakıyormuş,Git evde bulaşık yıka çıkma sokağa","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse"
1658466790509359104,Kurdish,@a_brls Ne yapsaydk seloyu çıkarıp millî savunma bakanı doğuda Kürt özerkliği Kürtçe 2.resmi dil olsun o pacavralar Ayyıldız la birlikte dalgalansın mı deseydik benim milletimi kötünün iyisini seçmek zorunda bıraktınız neyi savunuyorsun körü körüne bana değil o taptigin muhalefet e kinln,"Kürt özerkliği,Kürtçe 2.resmi dil olsun,o pacavralar","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization"
1658600435035282944,Kurdish,"@tamer_meral @yedincideniz @sayinnes @tahsinanil @OAnGeliyor @erbilagustos @DrSinanOgan Dürüst adam ders*m li chp yi bizden caldi dönüstürmekle övünüyor nereye dönüstürdü kürt hakki savunmaya hainler hapisten ciksin sürgünden dönsün siz iciniz rahat oturacakmisiniz evinizde nerde cöp var Mecliste yuhaliyorum 
Kilicdari!!","kürt hakki savunmaya hainler hapisten ciksin sürgünden dönsün,nerde cöp var Mecliste yuhaliyorum","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1658009526451286016,Kurdish,@sagin571 @__BURCUVAA_ Senin kardeşin Kürt ve Arap ..benim kardeşim Türk oğlu Türk Sizi denize döken de Türktü..git mahllende Ağla..,Sizi denize döken de Türktü,Threat of Enmity; War; Attack; Murder; or Harm
1658603760451571968,Kurdish,"@SimonettaVspc Filiz senin Kürt sorununu da seni de, bitmediniz gitti. Bu Kürt sorunu bi senin gibi bir tarafları rahatta olanlara var heralde. Benim yaşadığım ilde hiçbir Kürt'ün sorunu yok, sizin ne sorununuz var merak konusu.","seni de, bitmediniz gitti,Bu Kürt sorunu bi senin gibi bir tarafları rahatta olanlara var heralde","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1658717142722703104,Kurdish,"@enginozkoc Bir Atatürkçü hdp ye destek vermez 
Bir Atatürkçü fetöye destek vermez 
Bir Atatürkçü pkkya destek vermez 
Bir Atatürkçü sözde Ermeni soykırımına destek vermez
Bir Atatürkçü sözde kürdistana destek vermez
Bir Atatürkçü kürt açılımına destek vermez
Verirse zaten Atatürkçü değildir https://t.co/VIvfJ4mFvo","sözde Ermeni soykırımına,sözde kürdistana,kürt açılımına","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1657956266667560960,Kurdish,@zahide34 @Abdquil ben olsam kürt bölgelere hiç hizmet yapmam nedir bu nankörlük gözünüze dursun haram zıkkım olsun size..,"kürt bölgelere hiç hizmet yapmam,nankörlük,haram zıkkım olsun","Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1658014903561486080,Kurdish,@bilutfulmevla kadıköy bar tuvaletlerinde analdan vermeyi laiklik sanan mor saçlı karılarla 1-2 kürt şehrinden köy ağasını partisine katınca kazanacak sandı dangalaklar söyledik bunları bide bizle alay ediyorlardı kendi kafalarınca cok ucubeler cok,1-2 kürt şehrinden köy ağasını partisine katınca kazanacak sandı dangalaklar,Exaggeration; Generalization; Attribution; Distortion
1658214930657452032,Kurdish,"@muratsahin2023 En büyük Atatürkçü demokrasi aşığı
beyni sulanmış #Ayşegülarslan !!
o vatan hainlerine
İstiklal harbinde isyan eden Kürt saidin  torunlarına özgürlük diye bağırıyorsun
Amerika'nın kuyruğunda ülkemden toprak koparmak isteyenlere! Atatürk ve Türk düşmanlarından mı bahsediyorsun?👏","vatan hainlerine,İstiklal harbinde isyan eden Kürt saidin  torunlarına,ülkemden toprak koparmak isteyenlere","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1658077724718554880,Kurdish,"@PenitentOne1907 @asirisag @nizamettingve11 Özal'ın Saddam'dan kaçırdığı 500.000 kürt nasıl bugün ki siyasi, idari,demografik konularda sıkıntı çıkarıyorsa Rte'nin getirdiği 10 milyon artı yabancı seneler sonra çok skıntı çektirecektir bize.
Eser demişken bu da onun eserlerinden biri, bu açıdan bak olaya.","500.000 kürt nasıl bugün ki siyasi, idari,demografik konularda sıkıntı çıkarıyorsa",Exaggeration; Generalization; Attribution; Distortion
1658076156829082112,Kurdish,@pdavokado Pardon da hangi Kürtler ? Akp nin oylarının %15 i Kürt seçmenden oluşmuyor mu kendinizi demokrasi meleği ilan edip kafa ütülemeyin dağ farelerinin çıkarı olmasa yeşil sol CHP ye günahını vermez bunu gayet iyi biliyorsunuz,"kendinizi demokrasi meleği ilan edip kafa ütülemeyin,dağ farelerinin çıkarı olmasa","Swearing; Insult; Defamation; Dehumanization,Dehumanization"
1658245251910213888,Kurdish,"Evet üzüyosunuz ne chpye elim gitti ne kkya isteyerek oy verdim kürt oyu diye kafa siktiniz bizi hice saydiniz ilk turda bitirelim safsatasi olmasa kk bile basmazdim
Oganla Inceyle oturun barisin Türkler olarak birlesip kazanalim https://t.co/jHvYH5LABw",kürt oyu diye kafa siktiniz bizi hice saydiniz,Exaggeration; Generalization; Attribution; Distortion
1658010658468777984,Kurdish,"Bu ülke Kürt ve Alevi düşmanlığı yüzünden kaybediyor ve kaybetmeye de mahkum. HDP itifakın gizli üyesi diye oy vermeyen ve Alevi diye oy vermeyen Türk ve Kürtleri düşünün. Nefretleri çok büyük beyinleri çok küçük. Hepsi aynı bok.
#İkinciTur",HDP itifakın gizli üyesi diye oy vermeyen ve Alevi diye oy vermeyen Türk ve Kürtleri düşünün. Nefretleri çok büyük beyinleri çok küçük. Hepsi aynı bok.,Swearing; Insult; Defamation; Dehumanization
1658705304043790080,Kurdish,"@hudaparfan @HalkinPortali Hangi Kürt kardesimizin evine misafir olsak krallar gibi karsilandik, espriler yaptık güldük, hatta Kürt, türk esprileri yaptik sevdik sevildik ben HDP ye de oy veren Kürt kardeslerimin çoğunun kötü oldugunu düşünmüyorum, hüda par bu boşluğu doldurur umarim",,
1658514576021896960,Kurdish,"@NureddinNebati @kilicdarogluk hizibullah’lı vekilleriniz hayırlı olsun,pkk kürt vekillerinizde var fetocuda var tam oldunuz,ifakçı bölücü akp,hepinizin amacı TC,’tini yıkmak yagmalamak bölmek,abv’sin bu ülkenin bu milletin ekmegini yiyip ülkeye bu millete hainlik yaparak 13 milyon kaçak it doldurdunuz!","pkk kürt vekillerinizde var,hepinizin amacı TC,’tini yıkmak yagmalamak bölmek","Attribution; Distortion,Threat of Enmity; War; Attack; Murder; or Harm"
1658351215351037952,Kurdish,@OguzhanUgur Akp listelerinden 4 MV lini Meclise soktu şimdi nasıl olacak peki herkes domuzbaglarini masaya bıraksın eller yukarı mı denecek amaçlarına ulaştılar kürt Irkcisi Ayrılıkçı bayrağa karsi T.C yasalarını tanimayan Kürtçe resmi dil özerklik isteyen gerici bir yapı var Cİ içinde,"kürt Irkcisi Ayrılıkçı,bayrağa karsi T.C yasalarını tanimayan,Kürtçe resmi dil özerklik isteyen gerici bir yapı","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1658168851362729984,Kurdish,"Türk Milletinin bedelini Kan ile ödediği
TÜRKİYE Cumhuriyeti Devletinde
Türk Milletini ve Türk Milliyetçilerini temsil eden MHP nin  % 10 u zar zor aldığı bir seçim daha yaşadık
Türk'ün devletinde
Biri Gürcü
Diğeri sözüm ona Kürt iki aday arasında
Terxih yapmak zorunda kaldık",Diğeri sözüm ona Kürt,Swearing; Insult; Defamation; Dehumanization
1658278265839034112,Kurdish,@kilicdarogluk Dayı sen geçersen bu devletin başına ölürüz biz bizim yerimize sen öl devlet bu dertten kurtulsun o kadar Kürt Suriyeli var hepsi sana oy veriyo mk Suriyelileri sen bu devletin başına geçersen vay halimize ne devlet kalır ne Türkiye,o kadar Kürt Suriyeli var hepsi sana oy veriyo mk,Exaggeration; Generalization; Attribution; Distortion
1658239001407507968,Kurdish,Sizleri de istiklal mahkemelerinde yargılayacagız ablacım..Kur yaptığınız hdp ile birlikte sıra sıra göreceğiz davalarınızı..bu millete dayattığınız hdp ve kürt sempatizanlığı çok ters tepecek malesef..hele ki 3. Dünya savaşı eşiğinde ve bütün dünyada milliyetçilik yükselirken✌🏻 https://t.co/UFO3MJ2750,"sizleri de istiklal mahkemelerinde yargılayacagız ablacım,bu millete dayattığınız hdp ve kürt sempatizanlığı çok ters tepecek malesef,3. Dünya savaşı eşiğinde ve bütün dünyada milliyetçilik yükselirken","Threat of Enmity; War; Attack; Murder; or Harm,Exaggeration; Generalization; Attribution; Distortion,Symbolization"
1658305640572281088,Kurdish,@Cemiloglu571 @eren_kurt_25 Ulu önder Mustafa Kemal Atatürk dedelerinizin kemikleriyle çok oynadı bu kadar istiyorsan biz de oynarız zevkle Kahrolsun Kürt faşizmi  NE MUTLU TÜRKÜM DİYENE Yaşasın laiklik,"dedelerinizin kemikleriyle çok oynadı bu kadar istiyorsan biz de oynarız zevkle,Kahrolsun Kürt faşizmi","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1658257668543246080,Kurdish,TECAVÜZCÜ PKK❌ KÜRTLERİN İTİBARINI KÖTÜ GÖSTERMEK İÇİN TUTULMUŞ DEJENERE KÜRTLER! KÜRT KARDEŞİM BU TUZAKLARA DEĞİL GERÇEKLERE GERÇEKTEN ONLARI SEVEN ERDOĞAN’IN HEPİMİZİN PRESTİJİNİ DÜNYA LİDERİ ÜLKENİN VATANDAŞLARI SEVİYESİNE TAŞIDIĞINI GÖRSÜN! ABD İNG ALM FR BİTTİ,TECAVÜZCÜ PKK❌ KÜRTLERİN İTİBARINI KÖTÜ GÖSTERMEK İÇİN TUTULMUŞ DEJENERE KÜRTLER!,Swearing; Insult; Defamation; Dehumanization
1658718351349149952,Kurdish,@SosyalBedevi27 O. Çocuğu.. şırnakta askerler erdoğana kurban gitti. Erdoğanın bekasına kurban gitti.. buna mı takılmışsınız.. ana avradınuzı kürt eşeklerine siktirdiğim..,ana avradınuzı kürt eşeklerine siktirdiğim,Swearing; Insult; Defamation; Dehumanization
1658284980483629056,Kurdish,@heysisifos @oguzhanturhan_ Siyaset ve devlet  aklı ile Türkiye yüzyılında Kürt ve hüdaparlı kardeşlerimizle beraber kandilde bu fotoğrafın aynısı çektiricez. Liderimiz Oğan olsun biz her zaman hazırız. Ama şuan kandilin 2. aposunu hapisten çıkaracağını söyleyen K.K karşısında bir olmak zorundayız kardeşim. https://t.co/wCfdaJI8qe,şuan kandilin 2. aposunu hapisten çıkaracağını söyleyen K.K karşısında bir olmak zorundayız kardeşim.,Exaggeration; Generalization; Attribution; Distortion
1658240944406248960,Kurdish,@yLmazKurdi @figurevolving @temmuz1919 Türkiye Cumhuriyeti'nin Toprak bütünlüğü ve sınırları bellidir Saddam Hüseyine ihaneti karşılığında Kuzey Irak'ta Kürt bölgesi kurulmuştur istersen gidip orda yaşayabilirsin,"Saddam Hüseyine ihaneti karşılığında Kuzey Irak'ta Kürt bölgesi kurulmuştur,istersen gidip orda yaşayabilirsin","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1658375531165883904,Kurdish,@Casestovars @DosluSemih @imhotepafk1907 kardeşim neden bilmediğiniz konularda yorum yapıyorsunuz? adana da nasıl hdp kazandırmış oluyor :D adana kürt kökenli bir şehir mi? :D,adana kürt kökenli bir şehir mi?,Exclusive/Discriminatory Discourse
1658743314886032896,Kurdish,Sizden bir sikim olmaz. %8 kürt oyu için %25 milliyetçi oyundan vazgeçmeye devam. C.kaftancıoğlu chp binasından içeri girmemeli. Anasını siktiniz memleketin https://t.co/vvGxxFtRX7,"%8 kürt oyu,Anasını siktiniz memleketin","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1657965939353174016,Kurdish,Bu seçim daha çok üzülürüm sanıyordum ama öyle olmadı.Kıçında don olmayıp çocuklarına istediğini alamayan kürt faşisti Anadolu irfanlarına hayırlı olsun. https://t.co/92XCMv4Ykr,kıçında don olmayıp çocuklarına istediğini alamayan kürt faşisti,Swearing; Insult; Defamation; Dehumanization
1658614350033166080,Kurdish,@srkntnyldz Emekli askerim çeyrek asırdır CHP'ye oy verdim. Kemal Kılıçdaroğlu artık çekilmeli. Türk demek faşistlik Kürt demek özgürlük oldu. Bu CHP'nin hdpkk sevdası yüzünden oldu. %10 için % 30 gitti.,"Türk demek faşistlik Kürt demek özgürlük oldu,CHP'nin hdpkk sevdası","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1658541825349541888,Kurdish,@omerremektarr @yildiran1944 @aJeenix @sinesteziksan @pusholder Hiçbir zaman Kürt oyları seçimde belirleyici olmamıştır gir başka yerde zırvala,gir başka yerde zırvala,Exclusive/Discriminatory Discourse
1658194125672559104,Kurdish,"@kilicdarogluk Ben Kemal Aleviyim. Türklerden nefret ediyorum. Amerikan-İsrail planı. İran devrimi. İran, Irak'ı yönetiyor. Suriye'yi yöneten bir Arap Alevi. Kuzey Suriye'yi yöneten bir Kürt Alevi. Şimdi de Türklere bir Alevi hakim olsun istiyoruz. Benim için oy.",Kuzey Suriye'yi yöneten bir Kürt Alevi,Exaggeration; Generalization; Attribution; Distortion
1658062214467599872,Kurdish,@ardaereel Gördüğümüz Kürtlerin (bazılarının çok şükür ki aklı selim Kürt kardeşlerimiz de var ) seloyu çıkarma umuduyla kronik yenik olan KK ya bel bağladığıydı ama olmadı,"Gördüğümüz Kürtlerin (bazılarının çok şükür ki aklı selim Kürt kardeşlerimiz de var ),kronik yenik olan KK ya bel bağladığıydı ama olmadı","Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization"
1658747054695277056,Kurdish,@tanjuozcanchp Tanju Özcan değişecek olan iktidar değil muhalefettir sen Afgan Suriyeli diyorsun ama CHP hdp PKK ile iş birliğini anlatmıyorsun doğuda Kürt halkının malına ırzına namusuna göz diken sahip ulan şerefsiz PKK yı neden söylemiyorsun  hdp PKK nın CHP iyi partinin Amerika’ya çalıştını,Kürt halkının malına ırzına namusuna göz diken,Exaggeration; Generalization; Attribution; Distortion
1657909093858790912,Kurdish,"B.k ikna edersin, kürt ırkçılarının kıçından ayrılmıyordun, yallah Kandil'e @nevsinmengu https://t.co/dZXRWAkK9Z","kürt ırkçılarının kıçından ayrılmıyordun,yallah Kandil'e","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion"
1658266481656733952,Kurdish,Çevremde milliyetçi olduğunu iddia edip akp ve chpye oy atanlar oldu. Bununla oran daha da artıyor. Özetle manipüle edilmiş %8 kürt vatandaşlarımızın oylarını tercih ederek Milliyetçi Türk Kürt Laz Çerkez +%25 oyun çöpe atmak demekti. İnat ettiler. Bile bile kaybettiler. https://t.co/zDmzVD9VPF,manipüle edilmiş %8 kürt vatandaşlarımızın oylarını tercih ederek,Exaggeration; Generalization; Attribution; Distortion
1658001316004741120,Kurdish,"Bundan sonra bu Trakya insanının kürt edebiyatını sikerim.
Olum elinizle pkk yı oyladınız lan kahpeler.","kürt edebiyatını sikerim,kahpeler","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1658345651271261952,Kurdish,"Hahaha

Yere göğe sığdıramadığınız kürt kardeşlerinize bakın. Atatürkçü olup da eğer bu tabloda hâlâ bunlara sessiz kalıyorsanız size de yazıklar olsun.

Atam yaşasaydı bugün kendi partisi de dahil birçoğunuzu çükünden tavana asardı. https://t.co/4hRmKA8AG8","kürt kardeşlerinize,Atam yaşasaydı bugün kendi partisi de dahil birçoğunuzu çükünden tavana asardı.","Exclusive/Discriminatory Discourse,Threat of Enmity; War; Attack; Murder; or Harm"
1658515154298864128,Kurdish,@krdntwprwr001 Yok hala bir haftata kaç gün var onu bilmiyor. Yani diyorlar sizin ben alahinizi ve taptığınız her şeyi s.key.m yeter artık ag biri 76 kez soykırıma uğrar hala biz ezidiyiz Kürt değiliz der yani nasıl bir varlığı a.ına koyim,"sizin ben alahinizi ve taptığınız her şeyi s.key.m,hala biz ezidiyiz Kürt değiliz der,nasıl bir varlığı a.ına koyim","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization"
1657904928021443072,Kurdish,"@msikkofield Ama kürt oyları :(  :(  :(
Ama Davutoğlu, Babacan ve Temel'in huhamazakar çevreden alacağı oy potansiyeli :( :( :(
Artık ulusalcı ezberden kurtulup, birleşe birleşe kazanacağız ey halkım! Türk oyları? Turkiyeli mi demek istedin...
Amına goduklarım.",Amına goduklarım,Swearing; Insult; Defamation; Dehumanization
1658390146297875968,Kurdish,@DiMametto @Rojnamevanc @Darkwebhaber Beni mi sikicek sanki mal seni de sikicek. Sinan Oğan olmasaydı zaten Tayyip'in balkon konuşmasını dinliyordun. Sihirli kürt oyunuz da götünüze kaçmıştı çoktan.,Sihirli kürt oyunuz da götünüze kaçmıştı çoktan.,Swearing; Insult; Defamation; Dehumanization
