batch_number,annotator_1,annotator_2,filename
1,Murat,Burak,batch_1.csv
2,Didem,İrem,batch_2.csv
3,Pelin,Elif,batch_3.csv
4,Didem,Pelin,batch_4.csv
5,Elif,Murat,batch_5.csv
6,Burak,İrem,batch_6.csv
7,Murat,Burak,batch_7.csv
8,İrem,Elif,batch_8.csv
9,Didem,Pelin,batch_9.csv
10,Burak,İrem,batch_10.csv
11,Elif,Murat,batch_11.csv
12,Didem,Pelin,batch_12.csv
13,Elif,Didem,batch_13.csv
14,Burak,Pelin,batch_14.csv
15,Murat,İrem,batch_15.csv
16,İrem,Murat,batch_16.csv
17,Pelin,Burak,batch_17.csv
18,Didem,Elif,batch_18.csv
19,Didem,Murat,batch_19.csv
20,Burak,İrem,batch_20.csv
21,Elif,Pelin,batch_21.csv
22,Murat,Burak,batch_22.csv
23,Elif,Didem,batch_23.csv
24,Pelin,İrem,batch_24.csv
25,Didem,Murat,batch_25.csv
26,Burak,İrem,batch_26.csv
27,Pelin,Elif,batch_27.csv
28,İrem,Burak,batch_28.csv
29,Didem,Murat,batch_29.csv
30,Pelin,Elif,batch_30.csv
31,Murat,Burak,batch_31.csv
32,Elif,İrem,batch_32.csv
33,Didem,Pelin,batch_33.csv
34,Burak,İrem,batch_34.csv
35,Pelin,Didem,batch_35.csv
36,Elif,Murat,batch_36.csv
37,Murat,Pelin,batch_37.csv
38,İrem,Elif,batch_38.csv
39,Didem,Burak,batch_39.csv
40,Elif,İrem,batch_40.csv
41,Murat,Burak,batch_41.csv
42,Pelin,Didem,batch_42.csv
43,İrem,Pelin,batch_43.csv
44,Murat,Elif,batch_44.csv
45,Burak,Didem,batch_45.csv
46,Didem,Elif,batch_46.csv
47,İrem,Burak,batch_47.csv
48,Pelin,Murat,batch_48.csv
49,Burak,Didem,batch_49.csv
50,Elif,Murat,batch_50.csv
51,İrem,Pelin,batch_51.csv
52,Burak,Didem,batch_52.csv
53,İrem,Elif,batch_53.csv
54,Pelin,Murat,batch_54.csv
55,Elif,Murat,batch_55.csv
56,Didem,Pelin,batch_56.csv
57,Burak,İrem,batch_57.csv
58,Burak,Pelin,batch_58.csv
59,İrem,Murat,batch_59.csv
60,Didem,Elif,batch_60.csv
61,Pelin,Elif,batch_61.csv
62,Didem,Murat,batch_62.csv
63,Burak,İrem,batch_63.csv
64,Murat,Elif,batch_64.csv
65,Burak,Didem,batch_65.csv
66,Pelin,İrem,batch_66.csv
67,Didem,Burak,batch_67.csv
68,İrem,Murat,batch_68.csv
69,Elif,Pelin,batch_69.csv
70,Murat,Burak,batch_70.csv
71,Pelin,Elif,batch_71.csv
