genel_tutum,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,annotator,uploaded_at,konu,tweet_id,dil,kategori_count
Alevi Karşıtı,['Din'],6,"['Simgeleştirme', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,@Trabzon85471200 @ekrem_imamoglu kim? Daha Tuncelili Alevi keMAL i yenemiyor . Bir Karadenizli olarak utandım Reis den.  Reisi 3 ayda 2 kere yenen İMAMOĞLU 1 numara Trabzonlii,Dença,2023-09-08T10:46:55,Alevi,1657996401190620928,Türkçe,2
Alevi Karşıtı,['Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu'],6,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,"@AsyaBalluca Bir alevi olarak söylüyorum Asil dalyaraklar alevilere kimsenin oy vermicegini bildiği halde Kılıçdaroğlu huloglugu yapan alevilerdir amk !
Artik cuvaldizi kendinizr batirin!",Mehmet,2023-08-02T16:39:22,Alevi,1658009740398543104,Türkçe,1
Alevi Karşıtı,['Din'],2,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme']",Yok,@oceanids__ @alynzn @ananbenissever Kitle muhafazakar milliyetçi ülkücü sen PKK destekçileri ile bir olup üstüne inança saygısızlık edip Alevi lider çıkaracaksın Sünni muhafazakar insanlar sana oy atacak tanıyın Anadolu’yu artık tanıyım bu insanları ve saygı duyum yoksa çok daha kaybedersiniz,Sude,2023-12-26T01:05:03,Alevi,1658023853698736128,Türkçe,2
Alevi Karşıtı,"['Irk/Etnik Köken', 'Din', 'Hedef grup birden fazla.']",1,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme', 'Abartma; Genelleme; Yükleme; Çarpıtma']",Yok,@feyzaltun Halamı eridiğinizi görün artık ana muhalefet bile değilsiniz Türk milliyetçileri oyunu %26 ya taşıdı chp hdple açık ve net içiçe geçmiş kapanması gereken terör partisidir chpdeki bölücü ayrılıkçı alevi ve kürtler olduğu sürece kaybedecektir,Ulaş,2023-09-08T10:44:06,Alevi,1658053150589239040,Türkçe,3
Alevi Karşıtı,['Din'],1,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme']",Yok,"@umaydoktrin Gerçek bir cumhuriyetçi mi? Atatürk'ün takipçisi mi? Yoksa Türkiye'yi bölmek ve zayıflatmak isteyen İran'a bağlı bir Alevi mi?
Laik dini bir işaret takıyor mu? https://t.co/ikgvwrWjqs",Ulaş,2023-09-08T10:44:06,Alevi,1658113233851497984,Türkçe,2
Alevi Karşıtı,"['Din', 'Cinsel Yönelim', 'Hedef grup birden fazla.']",3,"['Dışlama; Ayrımcı Söylem', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Yok,@kemalozturk2020 İyi akşamlar kemal bey instegram hesabınızada yazdım ama ben sinan oğana oyumu verdim ve ikinci turda oy kullanmayı düşünmüyorum ve sinan bey bize şurayı desdekliyelim dese dahi onu dinlemeyiz heleki alevi olan lgbd ci olan demirtaşcı yani pkk olan kılıçtaroğunu kesinlikle,Sude,2023-12-26T01:05:10,Alevi,1658163300436259072,Türkçe,2
Alevi Karşıtı,['Din'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,@basgancokfevri Ciddi şekilde alevi lobisi var. Ve bunların büyük bir kısmı dersimci lobi. Bunların alayını tasfiye edip yerine ulusalcıları alacaksın.,Mehmet,2023-08-02T16:39:22,Alevi,1658175227983977984,Türkçe,1
Alevi Karşıtı,"['Irk/Etnik Köken', 'Din', 'Hedef grup birden fazla.']",2,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme']",Yok,@umaydoktrin @kilicdarogluk Siz de şunu anlamıyorsunuz kardeşim adam Türk değil ki miliyetci olsun. Alevi maskeli ermeni bu adam. CHP'yi ele geçirmişler. Buna oy veren kamalistler şaşırmış akıl tutulması yaşıyorlar,Ulaş,2023-09-08T10:44:06,Alevi,1658206215023762944,Türkçe,2
Alevi Karşıtı,['Din'],3,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme']",Yok,"@OkanBaskan10 @aliaktas7 Valla gardas alevi koylerindeki sonuclara bakiyorumda,
Cemevini acan akparti
Suyu elektrigi bedava yapan akparti
Devlette baskanlik veren akparti
Zulum gordukleri chp
Oylar chp ye..
Ben bundan mezhepcilik yapiyorlar anlarim..
O halde mezhepciyim bir aleviye asla oy vermem.
NOKTA.",Sude,2023-12-06T19:21:50,Alevi,1658381906323418880,Türkçe,2
Alevi Karşıtı,['Din'],3,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,@sevdaturkusev @EmniyetGM şeref.sizlerin gerçek yüzü bu şerefsiz alevi türkiyeye geldiği zaman emniyetten sonra bende ağırlarım bunu !,Sude,2023-12-26T01:04:56,Alevi,1658423605900747008,Türkçe,1
Alevi Karşıtı,['Din'],Emin değilim.,['Emin değilim'],Yok,@Siyahisolkanat Alevi dedesi Kemal Yalandaroğlu yalan söyleyecek değil ya! Adam kazandım diyor YSK kim heblubehajslal https://t.co/eVBJJGdxBy,Mehmet,2023-08-02T16:39:08,Alevi,1658531931753968128,Türkçe,1
Anti-Immigrant/Refugee,['Country/Nationality'],4,"['Exaggeration; Generalization; Attribution; Distortion:', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,اطلب ولي  محمد بن سلمان ب ترحيل البورما والفلسطينيه  واي واحد عليه قضيه نصب ماليه  او مخدرات,Neda,2023-08-03T09:37:11,Arabic,1659679566913314817,,2
Anti-Immigrant/Refugee,['Target group is more than one'],7,"['Exaggeration; Generalization; Attribution; Distortion:', 'Swearing; Insult; Defamation; Dehumanization']",Low,ترحيل فوري #يبجون عشان يدخلون الكويت #واذا شبعوا  يفسقون ويرفسون النعمه #خلوهم عبرها لغيرهم ترحيل جماعي,İsla,2024-02-24T15:56:28,Arabic,1659648460398665728,,2
Anti-Immigrant/Refugee,['Target group is unclear or absent'],3,"['Exclusive/Discriminatory Discourse', 'Symbolization', 'Exaggeration; Generalization; Attribution; Distortion:', 'Swearing; Insult; Defamation; Dehumanization']",None,"دا امن وطنى يافندم
المفروض مفيش هنا حاجه اسمها قضاء اساساً
احنا مش هنستفيد حاجه من سجنه
المفروض ترحيل فورى خارج البلاد لهم ولكل من عاونهم
فنحن كشعب نعانى من ويلات مايفعلوه .",İsla,2024-02-24T15:56:31,Arabic,1659342631472619524,,4
Anti-Immigrant/Refugee,['Country/Nationality'],3,['Threat of Enmity; War; Attack; Murder; or Harm'],None,فديت ولي عهدنا وعسا عمره طويل من أولوياته تحقيق الرؤيا وراحة وسعادة شعبه السعودي وتحقيق رغبة شعبه برحيل السوريين إلى بلادهم والله ودي ابوس راسه على السعي في ترحيل السوريين إلى بلادهم وحنا شعبه وحنا درعه وهو كفو أحبه,Neda,2023-11-14T07:57:30,Arabic,1659525548392038400,,1
Anti-Immigrant/Refugee,"['Country/Nationality', 'Target group is more than one']",7,"['Exclusive/Discriminatory Discourse', 'Swearing; Insult; Defamation; Dehumanization', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,اليوم رحت جده بارك وحرفيا حسيت نفسي بقلب دمشق او القاهره ، ولكن يبقى التساؤل متى بتم ترحيل هالجنسيتين العاله على المجتمع وفوق ذلك لاحمدا ولا شكورا,Neda,2023-12-12T01:41:47,Arabic,1659632117842624513,,3
Anti-Immigrant/Refugee,['Country/Nationality'],5,"['Symbolization', 'Exaggeration; Generalization; Attribution; Distortion:', 'Swearing; Insult; Defamation; Dehumanization']",High,"مغربيه حسابك قذف وصخ ما الومك تضنين الكل مثلكم نصكم مواليد غير شرعيين 
#المغرب_اضحوكة_العالم 
#ترحيل_المغربيات_مطلب_امني",İsla,2024-03-18T12:27:29,Arabic,1657582575420882945,,3
