genel_tutum,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,annotator,uploaded_at,konu,tweet_id,dil,kategori_count
Anti-Immigrant/Refugee,['Country/Nationality'],6,"['Swearing; Insult; Defamation; Dehumanization', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,"بالآونه الاخيرة اكثر الحسابات المتنكرة كسعوديين من المغرب 
يقومون بنشر الرذيلة والانحلال باسماء سعوديات قبيليات 
وذلك لتشويه سمعتهم عمداً ولزيادة المتابعين ورفع المشاهدات على حساب المرأة السعودية  #ترحيل_المغربيات_مطلب2",Neda,2024-02-24T15:56:32,Arabic,1659141226585571331,,2
Anti-Immigrant/Refugee,['Country/Nationality'],7,"['Exaggeration; Generalization; Attribution; Distortion:', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,"دخولهم الى دولنا خطير بسبب 
اعمال السحر والشعوذه والدعارة وتنكرهم كا سعوديين في السوشل ميديا وهم ورا حسابات النسويه والذكوريه ينشرون الفتن بينا خدام الماسونيه وصهيونية 
#ترحيل_المغربيات_مطلب2",Neda,2023-11-14T07:57:28,Arabic,1659158751507521537,,2
Arap Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",5,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,@muhendisyenn Hemde çok büyük bir sorun var. Büyük şeytan amerika yüzünden. Ortadoğuyu mahvetti. Şimdi sıra bizim ülkemize geldi. Yöneticiler de bu olayların gerilmesi için elinden geleni yapıyor. Ülke arap baharına dönmek üzere az kaldı. Araplara bu ülkeyi yok ettirecekler.,Şura,2023-11-14T07:57:40,Arabian,1658061958652755968,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Simgeleştirme'],Zayıf,En milliyetçi adamlardan biriyim ama asla milliyetçiliği sadece reklam malzemesi yapan kişilerin arkasına takılmadım. Mülteci ve arap sevicilerin her zaman karşısındayım. Yanında olanları milliyetçi sanmayın.,Firdevs,2023-08-25T19:01:15,Arabian,1658543138355461888,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"@championoneday @secimtr2023 Kendi milletimden artık  midem bulanıyor,inancım kalmadı dempremde cebimdeki son kurusa kadar yardim ettim.kefesinsiz, toplu olarak gomulenlere bile uzulmediler,oylarıyla ülkeyi bitirdiler,bu secimi ülkeye yerleşen yabancılar kazandı, millette arap goy goyculari armağan olsun",Şura,2023-08-17T21:14:31,Arabian,1658150712864387072,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,['Dışlama; Ayrımcı Söylem'],Yok,@yunuspaksoy Kendimizi kandirnayalim 2002 sobrasi yonetimin hatalari sonucu irak suriye kuzeyi boydan boya barzanistan kuruldu. Suriye Arap birligibe girdi. Artik uzub sure suriye kuzeyibi turamayiz. Siginmaci nufysu arttikca zatenAntep kilisHatay bogelerimizde demografik kontrol kalmayacak.,Can,2024-05-10T09:56:35,Arabian,1657978515021544960,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",8,"['Dışlama; Ayrımcı Söylem', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,@indoraptor14536 @cengizhan0641 @haskologlu alın başınıza çalın arapları ben arap tedavi etmeyeceğim teşekkürler,Elif Gülben,2023-08-22T14:09:36,Arabian,1658461282993929984,Türkçe,2
Arap Karşıtı,['Irk/Etnik Köken'],3,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"@hesaniko Biri keleş.kullaniyor...abd ve ab destekli
Diğeri işkence ve domuz bağı ile öldürüyor. Arap destekli",Burak,2023-11-08T03:27:27,Arabian,1658411402275569920,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",3,"['Dışlama; Ayrımcı Söylem', 'Nefret söylemi bulunmuyor']",Yok,"@smtrslnk @saw8419 @militerdoktrin1 hiç sanmıyorum, dün kayseride sivasta arap giysili herifler silah atıyordu sokaklarda erdoğan konuşmasından sonra",Elif Gülben,2023-08-22T14:09:36,Arabian,1658102547947593984,Türkçe,2
Arap Karşıtı,['Irk/Etnik Köken'],2,['Dışlama; Ayrımcı Söylem'],Yok,"Bu ülkeye demokrasi fazla! S.kmedikleri kimse kalmadı hala 49. Demek milletin fantezi dünyası geniş, özellikle Arap içerikli...",Can,2024-05-10T09:56:35,Arabian,1657996924509715968,Türkçe,1
