Label,IOU
0.0,835
0.04,1
0.05,4
0.06,5
0.07,6
0.08,5
0.09,4
0.1,4
0.11,6
0.12,18
0.13,2
0.14,6
0.15,5
0.16,6
0.17,10
0.18,15
0.19,11
0.2,14
0.21,9
0.22,13
0.23,12
0.24,10
0.25,13
0.26,14
0.27,14
0.28,12
0.29,17
0.3,14
0.31,18
0.32,20
0.33,9
0.34,22
0.35,13
0.36,16
0.37,10
0.38,17
0.39,21
0.4,15
0.41,17
0.42,10
0.43,21
0.44,18
0.45,21
0.46,17
0.47,16
0.48,18
0.49,30
0.5,16
0.51,17
0.52,18
0.53,17
0.54,17
0.55,21
0.56,25
0.57,15
0.58,20
0.59,20
0.6,13
0.61,13
0.62,21
0.63,17
0.64,19
0.65,17
0.66,14
0.67,18
0.68,17
0.69,21
0.7,13
0.71,12
0.72,22
0.73,17
0.74,15
0.75,14
0.76,20
0.77,7
0.78,12
0.79,15
0.8,10
0.81,7
0.82,13
0.83,9
0.84,9
0.85,11
0.86,13
0.87,13
0.88,11
0.89,11
0.9,8
0.91,5
0.92,10
0.93,10
0.94,16
0.95,11
0.96,12
0.97,23
0.98,29
0.99,15
1.0,1505
