Tweet_id,Target,Text,Span,tokens,tags
1658023842651013120,Hedef: Ermeni Karşıtı,"@kasgarlisunni Guneydogu
Besle kargayı oysun gozunu
Sünni Kürtler bile, ermeni partisi HDP ye oy veriyor
Şehitler, gaziler, evler, yatırımlar, maddi destekler,
Kaçak elektrikler
Ben ahirette davacıyım. Bu halktan","ermeni partisi HDP,Kürtler bile, ermeni partisi HDP ye oy veriyor\nŞehitler, gaziler, evler, yatırımlar, maddi destekler,\nKaçak elektrikler\nBen ahirette davacıyım. Bu halktan","[""kasgarlisunni"", ""Guneydogu"", ""Besle"", ""kargay\u0131"", ""oysun"", ""gozunu"", ""S\u00fcnni"", ""K\u00fcrtler"", ""bile"", ""ermeni"", ""partisi"", ""HDP"", ""ye"", ""oy"", ""veriyor"", ""\u015eehitler"", ""gaziler"", ""evler"", ""yat\u0131r\u0131mlar"", ""maddi"", ""destekler"", ""Ka\u00e7ak"", ""elektrikler"", ""Ben"", ""ahirette"", ""davac\u0131y\u0131m"", ""Bu"", ""halktan""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1569034365820084225,Hedef: Yunan Karşıtı,"BURSANIN KURTULUŞUN 100.YILI
Yunanistan ordusu Bursa'yı işgal edince Venizelos'un oğlu Sofokles Osman Gazi'nin türbesine gelip sandukaya tıklayarak seslendi:
-Biz geldik Osman, kalk da Bursa'yı kurtar!Sonrası malum. TÜRK, ordusu geldi ve tıklanma nasıl olur gösterdi!","TÜRK, ordusu geldi ve tıklanma nasıl olur gösterdi!","[""BURSANIN"", ""KURTULU\u015eUN"", ""100"", ""YILI"", ""Yunanistan"", ""ordusu"", ""Bursa"", ""y\u0131"", ""i\u015fgal"", ""edince"", ""Venizelos"", ""un"", ""o\u011flu"", ""Sofokles"", ""Osman"", ""Gazi"", ""nin"", ""t\u00fcrbesine"", ""gelip"", ""sandukaya"", ""t\u0131klayarak"", ""seslendi"", ""Biz"", ""geldik"", ""Osman"", ""kalk"", ""da"", ""Bursa"", ""y\u0131"", ""kurtar"", ""Sonras\u0131"", ""malum"", ""T\u00dcRK"", ""ordusu"", ""geldi"", ""ve"", ""t\u0131klanma"", ""nas\u0131l"", ""olur"", ""g\u00f6sterdi""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2]"
1565620340071489537,Hedef: Yunan Karşıtı,"Türküz diyemeyip,argüman koyacak birikimi olmayan biri Yunan'a yaranmak için orta yol buluyor ve Anadoluluyuz diyor karşısındaki arvanit/vlah döl çorbası ürünü ise ona""hayır hiçbir şey değilsin""diyor. Efe hocam dediği kişi de Kastamonulu olup kendini 🇨🇦'da yunanım diye satan biri https://t.co/77ArFKoRQT","arvanit/vlah döl çorbası ürünü,kendini 🇨🇦'da yunanım diye satan biri","[""T\u00fcrk\u00fcz"", ""diyemeyip"", ""arg\u00fcman"", ""koyacak"", ""birikimi"", ""olmayan"", ""biri"", ""Yunan"", ""a"", ""yaranmak"", ""i\u00e7in"", ""orta"", ""yol"", ""buluyor"", ""ve"", ""Anadoluluyuz"", ""diyor"", ""kar\u015f\u0131s\u0131ndaki"", ""arvanit"", ""vlah"", ""d\u00f6l"", ""\u00e7orbas\u0131"", ""\u00fcr\u00fcn\u00fc"", ""ise"", ""ona"", ""hay\u0131r"", ""hi\u00e7bir"", ""\u015fey"", ""de\u011filsin"", ""diyor"", ""Efe"", ""hocam"", ""dedi\u011fi"", ""ki\u015fi"", ""de"", ""Kastamonulu"", ""olup"", ""kendini"", ""da"", ""yunan\u0131m"", ""diye"", ""satan"", ""biri"", ""https"", ""t"", ""co"", ""77ArFKoRQT""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0]"
1392192145029832722,Hedef: Yahudi Karşıtı,#TerroristIsrael #katilisrail https://t.co/p1IdgAfjyj,#katilisrail,"[""TerroristIsrael"", ""katilisrail"", ""https"", ""t"", ""co"", ""p1IdgAfjyj""]","[0, 1, 0, 0, 0, 0]"
1567092410735362048,Hedef: Yunan Karşıtı,"@username yunan, geri çekilişinde
her yeri yakıp yıkarken
Türk kadınlarına el sürerken,ağa babaları 
ismail kahraman isimli zat diyor ki 
yunan işgal ettiği yerleri kurşun atmadan teslim etti…","yunan, geri çekilişinde\nher yeri yakıp yıkarken\nTürk kadınlarına el sürerken","[""username"", ""yunan"", ""geri"", ""\u00e7ekili\u015finde"", ""her"", ""yeri"", ""yak\u0131p"", ""y\u0131karken"", ""T\u00fcrk"", ""kad\u0131nlar\u0131na"", ""el"", ""s\u00fcrerken"", ""a\u011fa"", ""babalar\u0131"", ""ismail"", ""kahraman"", ""isimli"", ""zat"", ""diyor"", ""ki"", ""yunan"", ""i\u015fgal"", ""etti\u011fi"", ""yerleri"", ""kur\u015fun"", ""atmadan"", ""teslim"", ""etti""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658767593124119040,Hedef: Ermeni Karşıtı,"@sdcresmi Senin Türk halkı olduğuna inanan var mı Ermeni tohumu, kimsenden aciz diye yardım istedi de sen ne yardımı yaptın o kişiye","Ermeni tohumu,Ermeni tohumu","[""sdcresmi"", ""Senin"", ""T\u00fcrk"", ""halk\u0131"", ""oldu\u011funa"", ""inanan"", ""var"", ""m\u0131"", ""Ermeni"", ""tohumu"", ""kimsenden"", ""aciz"", ""diye"", ""yard\u0131m"", ""istedi"", ""de"", ""sen"", ""ne"", ""yard\u0131m\u0131"", ""yapt\u0131n"", ""o"", ""ki\u015fiye""]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1394015872566579203,Hedef: Yahudi Karşıtı,#PalestineBleeding #Katilİsrail #AksadaBaskinVar #GazzedeKatliamVar,#Katilİsrail,"[""PalestineBleeding"", ""Katil\u0130srail"", ""AksadaBaskinVar"", ""GazzedeKatliamVar""]","[0, 1, 0, 0]"
1394747393225154569,Hedef: Yahudi Karşıtı,"ALLAH BELANI VERSİN İTRAİL!
#ResistGaza https://t.co/d51vtjk6MF","ALLAH BELANI VERSİN İTRAİL!,İTRAİL!","[""ALLAH"", ""BELANI"", ""VERS\u0130N"", ""\u0130TRA\u0130L"", ""ResistGaza"", ""https"", ""t"", ""co"", ""d51vtjk6MF""]","[1, 2, 2, 1, 0, 0, 0, 0, 0]"
1394277942260293639,Hedef: Yahudi Karşıtı,"Saat 16:05’te TV NET’te ırkçı-terörist İsrail’in Gazze saldırılarını ve dünyanın sessizliğini konuşuyoruz 
#GazzedeKatliamVar #IsraeliTerrorism",ırkçı-terörist İsrail,"[""Saat"", ""16"", ""05"", ""te"", ""TV"", ""NET"", ""te"", ""\u0131rk\u00e7\u0131"", ""ter\u00f6rist"", ""\u0130srail"", ""in"", ""Gazze"", ""sald\u0131r\u0131lar\u0131n\u0131"", ""ve"", ""d\u00fcnyan\u0131n"", ""sessizli\u011fini"", ""konu\u015fuyoruz"", ""GazzedeKatliamVar"", ""IsraeliTerrorism""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1532813807311110149,Hedef: Yunan Karşıtı,"Sn.@username  Yunanistan gücümüzü bilmesine rağmen tahriklerine devam ediyor! Tabiki kışkırtma ile! Abd Rusyayı -Ukrayna ile bizi yunanistanla eşleştirip suriyede pkk ile devam ederken burada abd'nin  hamleleri üzerine kafa yormalıyız! Ne zaman kaç hamle sonra ""ŞAH""  çekecek! https://t.co/3wuX6qBXUX",,"[""Sn"", ""username"", ""Yunanistan"", ""g\u00fcc\u00fcm\u00fcz\u00fc"", ""bilmesine"", ""ra\u011fmen"", ""tahriklerine"", ""devam"", ""ediyor"", ""Tabiki"", ""k\u0131\u015fk\u0131rtma"", ""ile"", ""Abd"", ""Rusyay\u0131"", ""Ukrayna"", ""ile"", ""bizi"", ""yunanistanla"", ""e\u015fle\u015ftirip"", ""suriyede"", ""pkk"", ""ile"", ""devam"", ""ederken"", ""burada"", ""abd"", ""nin"", ""hamleleri"", ""\u00fczerine"", ""kafa"", ""yormal\u0131y\u0131z"", ""Ne"", ""zaman"", ""ka\u00e7"", ""hamle"", ""sonra"", ""\u015eAH"", ""\u00e7ekecek"", ""https"", ""t"", ""co"", ""3wuX6qBXUX""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
