Tweet_id,Target,Text,Span,tokens,tags
1658053063221944064,Hedef: Ermeni Karşıtı,"Öte yandan da diyorum ki amaaaan bana ne, kadın değilim, alevi değilim, afedersiniz Ermeni değilim, sokak hayvanı değilim, çocuk yok, ev kira değil. Tek derdim mama kitap, Steam 'deki oyunların fiyatı. Kim ne hali varsa görsün https://t.co/V4DydRRON9",afedersiniz Ermeni değilim,"[""\u00d6te"", ""yandan"", ""da"", ""diyorum"", ""ki"", ""amaaaan"", ""bana"", ""ne"", ""kad\u0131n"", ""de\u011filim"", ""alevi"", ""de\u011filim"", ""afedersiniz"", ""Ermeni"", ""de\u011filim"", ""sokak"", ""hayvan\u0131"", ""de\u011filim"", ""\u00e7ocuk"", ""yok"", ""ev"", ""kira"", ""de\u011fil"", ""Tek"", ""derdim"", ""mama"", ""kitap"", ""Steam"", ""deki"", ""oyunlar\u0131n"", ""fiyat\u0131"", ""Kim"", ""ne"", ""hali"", ""varsa"", ""g\u00f6rs\u00fcn"", ""https"", ""t"", ""co"", ""V4DydRRON9""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658432053094777088,Hedef: Ermeni Karşıtı,"@AylinErtekin34 Bütün teröristlerin anası chp babası da İsrail Vatikan Almanya İngiltere Fransa İsveç İtalya Amerika Kanada İran Ermeni yunan gibi ülkelerdir , bitti niyemi Kalkınamıyoruz gelisemiyoruz sebebi chp chp eşittir chp",Bütün teröristlerin anası chp babası da İsrail Vatikan Almanya İngiltere Fransa İsveç İtalya Amerika Kanada İran Ermeni yunan gibi ülkelerdir,"[""AylinErtekin34"", ""B\u00fct\u00fcn"", ""ter\u00f6ristlerin"", ""anas\u0131"", ""chp"", ""babas\u0131"", ""da"", ""\u0130srail"", ""Vatikan"", ""Almanya"", ""\u0130ngiltere"", ""Fransa"", ""\u0130sve\u00e7"", ""\u0130talya"", ""Amerika"", ""Kanada"", ""\u0130ran"", ""Ermeni"", ""yunan"", ""gibi"", ""\u00fclkelerdir"", ""bitti"", ""niyemi"", ""Kalk\u0131nam\u0131yoruz"", ""gelisemiyoruz"", ""sebebi"", ""chp"", ""chp"", ""e\u015fittir"", ""chp""]","[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658225852067216896,Hedef: Arap Karşıtı,@bumin_ilte95421 @KavalaFaik @hatice_aybike Evlatlarınızın ve Benim küçük Umay'ımın Arap dili öğrenerek büyümesini istemiyorum sadece. Bütün sinirim buna ve MEB'i Radikal İslamcıların ellerine vermek isteyenlerle. Karşı taraf bir milli güvenlik sorunudur artık bunu Ümit Hoca kendisi de belirtmişti.,"Arap dili öğrenerek büyümesini istemiyorum,Karşı taraf bir milli güvenlik sorunudur,Karşı taraf bir milli güvenlik sorunudur","[""bumin_ilte95421"", ""KavalaFaik"", ""hatice_aybike"", ""Evlatlar\u0131n\u0131z\u0131n"", ""ve"", ""Benim"", ""k\u00fc\u00e7\u00fck"", ""Umay"", ""\u0131m\u0131n"", ""Arap"", ""dili"", ""\u00f6\u011frenerek"", ""b\u00fcy\u00fcmesini"", ""istemiyorum"", ""sadece"", ""B\u00fct\u00fcn"", ""sinirim"", ""buna"", ""ve"", ""MEB"", ""i"", ""Radikal"", ""\u0130slamc\u0131lar\u0131n"", ""ellerine"", ""vermek"", ""isteyenlerle"", ""Kar\u015f\u0131"", ""taraf"", ""bir"", ""milli"", ""g\u00fcvenlik"", ""sorunudur"", ""art\u0131k"", ""bunu"", ""\u00dcmit"", ""Hoca"", ""kendisi"", ""de"", ""belirtmi\u015fti""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0]"
1568230072301002752,Hedef: Yunan Karşıtı,@sakossakk Yunan tohumu 😄,Yunan tohumu,"[""sakossakk"", ""Yunan"", ""tohumu""]","[0, 4, 4]"
1569019306964570116,Hedef: Yunan Karşıtı,"@username @username Lise tarih  bilgim ve tv den izlediğim meselelerle sabah aynı yorumu eşime ben yaptım “Rusya istese Ukrayna’yı haritadan siler ama bak daha savaş devam ediyor ,Yunan’la biz savaşırsak da böyle https://t.co/chRjKGNes0çak Avrupa sürekli yabancı asker ve malzeme gönderir dedim .","“Rusya istese Ukrayna’yı haritadan siler ama bak daha savaş devam ediyor ,Yunan’la biz savaşırsak da böyle","[""username"", ""username"", ""Lise"", ""tarih"", ""bilgim"", ""ve"", ""tv"", ""den"", ""izledi\u011fim"", ""meselelerle"", ""sabah"", ""ayn\u0131"", ""yorumu"", ""e\u015fime"", ""ben"", ""yapt\u0131m"", ""Rusya"", ""istese"", ""Ukrayna"", ""y\u0131"", ""haritadan"", ""siler"", ""ama"", ""bak"", ""daha"", ""sava\u015f"", ""devam"", ""ediyor"", ""Yunan"", ""la"", ""biz"", ""sava\u015f\u0131rsak"", ""da"", ""b\u00f6yle"", ""https"", ""t"", ""co"", ""chRjKGNes0\u00e7ak"", ""Avrupa"", ""s\u00fcrekli"", ""yabanc\u0131"", ""asker"", ""ve"", ""malzeme"", ""g\u00f6nderir"", ""dedim""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1393440105831018496,Hedef: Yahudi Karşıtı,#Gazze #FilistinYalnizDegil #palestinafree Artık kavli dualardan ve kınamadan daha fazlasını yapmalıyız. Kıyamet kopsun taş üstünde taş kalmasın fitneci ve bozguncu kavim beni İsrail’i tarihe gömelim Allah rızası için.,,"[""Gazze"", ""FilistinYalnizDegil"", ""palestinafree"", ""Art\u0131k"", ""kavli"", ""dualardan"", ""ve"", ""k\u0131namadan"", ""daha"", ""fazlas\u0131n\u0131"", ""yapmal\u0131y\u0131z"", ""K\u0131yamet"", ""kopsun"", ""ta\u015f"", ""\u00fcst\u00fcnde"", ""ta\u015f"", ""kalmas\u0131n"", ""fitneci"", ""ve"", ""bozguncu"", ""kavim"", ""beni"", ""\u0130srail"", ""i"", ""tarihe"", ""g\u00f6melim"", ""Allah"", ""r\u0131zas\u0131"", ""i\u00e7in""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658186747329536000,Hedef: Arap Karşıtı,oradaki masum insanlar cocuklar icin hicbir sey soylemiyorum ama soyle bir sey soyleyecegim ben turkiyenin en cok Arap olan illerinden birindeyim ve korkuyorum bir gün ölürsem araplar yuzunden eger onlarin oylari ile olucak bu  o yüzden 'o seçmenler' her seyin kotusunu hakediyor https://t.co/UrM5od0qls,"en cok Arap olan illerinden birindeyim ve korkuyorum bir gün ölürsem araplar yuzunden,'o seçmenler' her seyin kotusunu hakediyor,'o seçmenler' her seyin kotusunu hakediyor","[""oradaki"", ""masum"", ""insanlar"", ""cocuklar"", ""icin"", ""hicbir"", ""sey"", ""soylemiyorum"", ""ama"", ""soyle"", ""bir"", ""sey"", ""soyleyecegim"", ""ben"", ""turkiyenin"", ""en"", ""cok"", ""Arap"", ""olan"", ""illerinden"", ""birindeyim"", ""ve"", ""korkuyorum"", ""bir"", ""g\u00fcn"", ""\u00f6l\u00fcrsem"", ""araplar"", ""yuzunden"", ""eger"", ""onlarin"", ""oylari"", ""ile"", ""olucak"", ""bu"", ""o"", ""y\u00fczden"", ""o"", ""se\u00e7menler"", ""her"", ""seyin"", ""kotusunu"", ""hakediyor"", ""https"", ""t"", ""co"", ""UrM5od0qls""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0]"
1520518541635690501,Hedef: Yunan Karşıtı,"04 Ocak 1932 Türk-İtalyan Sözleşmesi ve Milletler Cemiyeti kayıtlarında Türkiye’ye ait olduğu tescilli olan Aydın Marathi Adası 2016’da Yunanistan tarafından işgal edildi. Yunanistan, işgal ettiği diğer adalarda olduğu gibi Marathi Adası’na da Belediye Başkanı ve Vali atadı. https://t.co/PxwQHyiSZm",,"[""04"", ""Ocak"", ""1932"", ""T\u00fcrk"", ""\u0130talyan"", ""S\u00f6zle\u015fmesi"", ""ve"", ""Milletler"", ""Cemiyeti"", ""kay\u0131tlar\u0131nda"", ""T\u00fcrkiye"", ""ye"", ""ait"", ""oldu\u011fu"", ""tescilli"", ""olan"", ""Ayd\u0131n"", ""Marathi"", ""Adas\u0131"", ""2016"", ""da"", ""Yunanistan"", ""taraf\u0131ndan"", ""i\u015fgal"", ""edildi"", ""Yunanistan"", ""i\u015fgal"", ""etti\u011fi"", ""di\u011fer"", ""adalarda"", ""oldu\u011fu"", ""gibi"", ""Marathi"", ""Adas\u0131"", ""na"", ""da"", ""Belediye"", ""Ba\u015fkan\u0131"", ""ve"", ""Vali"", ""atad\u0131"", ""https"", ""t"", ""co"", ""PxwQHyiSZm""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658117680145093120,Hedef: Alevi Karşıtı,"@salihdursun2834 @sevilayyaziyor Diyemez kardeşim çünkü alttan alttan Alevi milliyetçiliği yapıyordular tam bir fırsat dediler ama Türk milleti buna izin vermedi ben CHP’lilere sadece şunu söylemek istiyorum il başkanlarınızın ve delegelerinizin yüzde kaçı Alevi şu anda bir araştırın
Cevap bekliyorum sizden CHP.","alttan alttan Alevi milliyetçiliği yapıyordular,CHP’lilere sadece şunu söylemek istiyorum il başkanlarınızın ve delegelerinizin yüzde kaçı Alevi","[""salihdursun2834"", ""sevilayyaziyor"", ""Diyemez"", ""karde\u015fim"", ""\u00e7\u00fcnk\u00fc"", ""alttan"", ""alttan"", ""Alevi"", ""milliyet\u00e7ili\u011fi"", ""yap\u0131yordular"", ""tam"", ""bir"", ""f\u0131rsat"", ""dediler"", ""ama"", ""T\u00fcrk"", ""milleti"", ""buna"", ""izin"", ""vermedi"", ""ben"", ""CHP"", ""lilere"", ""sadece"", ""\u015funu"", ""s\u00f6ylemek"", ""istiyorum"", ""il"", ""ba\u015fkanlar\u0131n\u0131z\u0131n"", ""ve"", ""delegelerinizin"", ""y\u00fczde"", ""ka\u00e7\u0131"", ""Alevi"", ""\u015fu"", ""anda"", ""bir"", ""ara\u015ft\u0131r\u0131n"", ""Cevap"", ""bekliyorum"", ""sizden"", ""CHP""]","[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1395541089269030912,Hedef: Yahudi Karşıtı,"Rabbimize sonsuz ve hamd ve senalar olsun.

Mücahidlere ve mücahidelere selam olsun. 

Direnişin zaferi mübarek olsun.

Siyonistlerin bu hezimeti, sonun başlangıcı olsun.

Bu zafer, Ümmetin uyanışına ve dirilişine vesile olsun.

ZAFER İNANANLARINDIR.

#FilistinKazanıyor",sonun başlangıcı olsun.,"[""Rabbimize"", ""sonsuz"", ""ve"", ""hamd"", ""ve"", ""senalar"", ""olsun"", ""M\u00fccahidlere"", ""ve"", ""m\u00fccahidelere"", ""selam"", ""olsun"", ""Direni\u015fin"", ""zaferi"", ""m\u00fcbarek"", ""olsun"", ""Siyonistlerin"", ""bu"", ""hezimeti"", ""sonun"", ""ba\u015flang\u0131c\u0131"", ""olsun"", ""Bu"", ""zafer"", ""\u00dcmmetin"", ""uyan\u0131\u015f\u0131na"", ""ve"", ""dirili\u015fine"", ""vesile"", ""olsun"", ""ZAFER"", ""\u0130NANANLARINDIR"", ""FilistinKazan\u0131yor""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
